,extraction_ID,date,destwell,destloc,sourcewell,sourceloc,sourcevol
1,E0165,5/30/14,D1,P12,G2,P13,30
2,E0167,5/30/14,E1,P12,A3,P13,30
3,E0215,5/30/14,F1,P12,H8,P13,30
4,E0226,5/30/14,G1,P12,D10,P13,30
5,E0228,5/30/14,A5,P12,F10,P13,30
6,E0250,5/30/14,B5,P12,D1,P2,30
7,E0328,5/30/14,H1,P12,B11,P2,30
8,E0378,5/30/14,A1,P12,D5,P3,30
9,E0474,5/30/14,B1,P12,D5,P4,30
10,E0485,5/30/14,C1,P12,G6,P4,30
11,E0492,5/30/14,B6,P12,F7,P4,30
12,E0516,5/30/14,C6,P12,F10,P4,30
13,E0570,7/31/14,D3,P12,D5,P5,30
14,E0727,9/17/14,H6,P12,A1,P6,30
15,E0772,9/17/14,C2,P12,F6,P6,30
16,E0792,9/17/14,D8,P12,B9,P6,30
17,E0867,10/8/14,D4,P12,E6,P7,30
18,E0921,9/18/14,E3,P12,C1,P8,30
19,E0922,9/18/14,D2,P12,D1,P8,30
20,E0923,9/18/14,F3,P12,E1,P8,30
21,E0924,9/18/14,B3,P12,F1,P8,30
22,E0925,9/18/14,G3,P12,G1,P8,30
23,E0926,9/18/14,H3,P12,H1,P8,30
24,E0928,9/18/14,H5,P12,B2,P8,30
25,E0931,9/18/14,E5,P12,E2,P8,30
26,E0933,9/18/14,A4,P12,G2,P8,30
27,E0950,9/18/14,B4,P12,H4,P8,30
28,E0962,9/18/14,F5,P12,D6,P8,30
29,E0963,9/18/14,E2,P12,E6,P8,30
30,E0968,9/18/14,H4,P12,B7,P8,30
31,E0974,9/18/14,C4,P12,H7,P8,30
32,E1068,9/18/14,G6,P12,F7,P9,30
33,E1095,9/18/14,A2,P12,A11,P9,30
34,E1108,9/18/14,B2,P12,F12,P9,30
35,E1218,10/8/14,C3,P12,D2,P10,30
36,E1245,10/8/14,F2,P12,G5,P10,30
37,E1297,10/8/14,A6,P12,C12,P10,30
38,E1350,10/8/14,D6,P12,H6,P13,30
39,E1382,10/8/14,F4,P12,H10,P13,30
40,E1385,10/8/14,H2,P12,C11,P13,30
41,E1388,10/8/14,D5,P12,F11,P13,15
42,E1394,10/8/14,G4,P12,D12,P13,30
43,E1397,10/8/14,G5,P12,G12,P13,30
44,E1478,10/8/14,G2,P12,H10,P2,30
45,E1480,10/8/14,C5,P12,B11,P2,30
46,E1483,10/8/14,E4,P12,E11,P2,30
47,E1488,10/8/14,A3,P12,B12,P2,30
48,E1866,6/29/15,E6,P12,D11,P3,30
49,E1867,6/29/15,F6,P12,E11,P3,30
50,E2448,11/18/15,A8,P12,G12,P4,30
51,E2499,2/19/16,A7,P12,B7,P5,30
52,E2521,2/19/16,B7,P12,H9,P5,15
53,E2538,2/19/16,C7,P12,A12,P5,30
54,E2588,2/19/16,D7,P12,C6,P6,15
55,E2617,2/19/16,E7,P12,H9,P6,30
56,E2632,2/19/16,F7,P12,G11,P6,30
57,E2744,3/5/16,B8,P12,G1,P7,30
58,E2757,3/5/16,C8,P12,D3,P7,30
59,E2851,4/20/16,G7,P12,B3,P8,30
60,E2852,4/20/16,E8,P12,C3,P8,30
61,E2931,4/20/16,H7,P12,B1,P9,30
