extraction_ID,sourceloc,sourcewell,sourcevol,destloc,destwell
E0165,P13,G2,30,P12,D1
E0167,P13,A3,30,P12,E1
E0215,P13,H8,30,P12,F1
E0226,P13,D10,30,P12,G1
E0228,P13,F10,30,P12,A5
E0250,P2,D1,30,P12,B5
E0328,P2,B11,30,P12,H1
E0378,P3,D5,30,P12,A1
E0474,P4,D5,30,P12,B1
E0485,P4,G6,30,P12,C1
E0492,P4,F7,30,P12,B6
E0516,P4,F10,30,P12,C6
E0570,P5,D5,30,P12,D3
E0727,P6,A1,30,P12,H6
E0772,P6,F6,30,P12,C2
E0792,P6,B9,30,P12,D8
E0867,P7,E6,30,P12,D4
E0921,P8,C1,30,P12,E3
E0922,P8,D1,30,P12,D2
E0923,P8,E1,30,P12,F3
E0924,P8,F1,30,P12,B3
E0925,P8,G1,30,P12,G3
E0926,P8,H1,30,P12,H3
E0928,P8,B2,30,P12,H5
E0931,P8,E2,30,P12,E5
E0933,P8,G2,30,P12,A4
E0950,P8,H4,30,P12,B4
E0962,P8,D6,30,P12,F5
E0963,P8,E6,30,P12,E2
E0968,P8,B7,30,P12,H4
E0974,P8,H7,30,P12,C4
E1068,P9,F7,30,P12,G6
E1095,P9,A11,30,P12,A2
E1108,P9,F12,30,P12,B2
E1218,P10,D2,30,P12,C3
E1245,P10,G5,30,P12,F2
E1297,P10,C12,30,P12,A6
