"","extraction_ID","date","destwell","sourcewell","sourceloc","destloc","sourcevol"
"1","E2968","2016-09-06","F8","A1","P13","P12",30
"2","E2969","2016-09-06","G8","B1","P13","P12",30
"3","E2970","2016-09-06","H8","C1","P13","P12",30
"4","E2971","2016-09-06","A9","D1","P13","P12",30
"5","E2972","2016-09-06","B9","E1","P13","P12",30
"6","E2973","2016-09-06","C9","F1","P13","P12",30
"7","E2974","2016-09-06","D9","G1","P13","P12",30
"8","E2975","2016-09-06","E9","H1","P13","P12",30
"9","E2976","2016-09-06","F9","A2","P13","P12",30
"10","E2977","2016-09-06","G9","B2","P13","P12",30
"11","E2978","2016-09-06","H9","C2","P13","P12",30
"12","E2980","2016-09-06","A10","E2","P13","P12",30
"13","E2981","2016-09-06","B10","F2","P13","P12",30
"14","E2982","2016-09-06","C10","G2","P13","P12",30
"15","E2983","2016-09-06","D10","H2","P13","P12",30
"16","E2984","2016-09-06","E10","A3","P13","P12",30
"17","E2985","2016-09-06","F10","B3","P13","P12",30
"18","E2986","2016-09-06","G10","C3","P13","P12",30
"19","E2987","2016-09-06","H10","D3","P13","P12",30
"20","E2988","2016-09-06","A11","E3","P13","P12",30
"21","E2989","2016-09-06","B11","F3","P13","P12",30
"22","E2990","2016-09-06","C11","G3","P13","P12",30
"23","E2991","2016-09-06","D11","H3","P13","P12",30
"24","E2992","2016-09-06","E11","A4","P13","P12",30
"25","E2993","2016-09-06","F11","B4","P13","P12",30
"26","E2994","2016-09-06","G11","C4","P13","P12",30
"27","E2995","2016-09-06","H11","D4","P13","P12",30
"28","E2996","2016-09-06","A12","E4","P13","P12",30
"29","E2997","2016-09-06","B12","F4","P13","P12",30
"30","E2998","2016-09-06","C12","G4","P13","P12",30
"31","E2999","2016-09-06","D12","H4","P13","P12",30
"32","E3000","2016-09-06","E12","A5","P13","P12",30
"33","E3001","2016-09-06","F12","B5","P13","P12",30
"34","E3002","2016-09-06","G12","C5","P13","P12",30
"35","E3003","2016-09-06","H12","D5","P13","P12",30
