"","digest_id","extraction_id.x","sample_id","ligation_id","date","quant","notes","enzymes","DNA","vol_in"
"1","D3269","E0933","APCL14_166",NA,"2016-09-18",0.462,NA,"PstI_MluCI",NA,324.675324675325
"2","D3046","E2723","APCL15_374493",NA,"2016-04-04",0.468,"","PstI_MluCI",NA,320.51282051282
"3","D3285","E0492","APCL13_369",NA,"2016-09-18",0.468,NA,"PstI_MluCI",NA,320.51282051282
"4","D1128","E1378","APCL14_539",NA,"2014-11-03",0.505,"","PstI_MluCI",NA,297.029702970297
"5","D1915","E0541","APCL13_418",NA,"2015-11-03",0.508,"","PstI_MluCI",NA,295.275590551181
"6","D2219","E1236","APCL14_375",NA,"2015-11-20",0.522,"","PstI_MluCI",NA,287.35632183908
"7","D0735","E0522","APCL13_399",NA,"2014-07-18",0.529,"","PstI_MluCI",NA,283.553875236295
"8","D3037","E2775","APCL15_003",NA,"2016-04-04",0.543,"","PstI_MluCI",NA,276.243093922652
"9","D3053","E2791","APCL15_375642",NA,"2016-04-04",0.544,"","PstI_MluCI",NA,275.735294117647
"10","D2943","E2585","APCL15_356492",NA,"2016-04-04",0.596,"","PstI_MluCI",NA,251.677852348993
"11","D2942","E2584","APCL15_064",NA,"2016-04-04",0.619,"","PstI_MluCI",NA,242.32633279483
"12","D2951","E2593","APCL15_069",NA,"2016-04-04",0.635,"","PstI_MluCI",NA,236.220472440945
"13","D2971","E2613","APCL15_373816",NA,"2016-04-04",0.724,"","PstI_MluCI",NA,207.182320441989
"14","D3290","E1068","APCL14_302",NA,"2016-09-18",0.745,NA,"PstI_MluCI",NA,201.342281879195
"15","D2973","E2615","APCL15_024",NA,"2016-04-04",0.895,"","PstI_MluCI",NA,167.597765363129
"16","D2921","E2563","APCL15_354270",NA,"2016-04-04",0.924,"","PstI_MluCI",NA,162.337662337662
"17","D2711","E1854","APCL12_190",NA,"2015-12-10",0.95,"","PstI_MluCI",NA,157.894736842105
"18","D3264","E0570","APCL13_447",NA,"2016-09-18",0.956,NA,"PstI_MluCI",NA,156.903765690377
"19","D3078","E2816","APCL15_405714",NA,"2016-04-04",0.988,"","PstI_MluCI",NA,151.821862348178
"20","D2965","E2607","APCL15_402943",NA,"2016-04-04",1.018,"","PstI_MluCI",NA,147.347740667976
"21","D2982","E2624","APCL15_374610",NA,"2016-04-04",1.052,"","PstI_MluCI",NA,142.585551330798
"22","D3011","E2749","APCL15_407195",NA,"2016-04-04",1.108,"","PstI_MluCI",NA,135.379061371841
"23","D3120","E2733","APCL15_044",NA,"2016-04-25",1.157,"","PstI_MluCI",NA,129.645635263613
"24","D3146","E2856","APCL15_376041",NA,"2016-04-25",1.166,"","PstI_MluCI",NA,128.644939965695
"25","D3074","E2812","APCL15_021",NA,"2016-04-04",1.175,"","PstI_MluCI",NA,127.659574468085
"26","D3023","E2761","APCL15_371294",NA,"2016-04-04",1.213,"","PstI_MluCI",NA,123.660346248969
"27","D3118","E2731","APCL15_407431",NA,"2016-04-25",1.308,"","PstI_MluCI",NA,114.678899082569
"28","D2979","E2621","APCL15_356529",NA,"2016-04-04",1.34,"","PstI_MluCI",NA,111.940298507463
"29","D2947","E2589","APCL15_042",NA,"2016-04-04",1.352,"","PstI_MluCI",NA,110.94674556213
