"","digest_id","ligation_id","date","DNA","vol_in","water","destloc","destwell","sourcewell","sourceloc","run"
"36","D2815","L3069","2016-03-05",40,11.2,11,"P12","C12","H1","P10",2
"37","D2821","L3074","2016-03-05",40,10.4,11.8,"P12","H12","F2","P10",2
"38","D2833","L3091","2016-03-05",75,15.7,6.5,"P13","A3","B4","P10",2
"39","D2841","L3105","2016-03-05",75,13.9,8.3,"P13","G4","B5","P10",2
"40","D2842","L3016","2016-03-05",10,5.25,16.9,"P12","F5","C5","P10",2
"41","D2877","L3100","2016-03-05",75,14.3,7.9,"P13","B4","F9","P10",2
"42","D2888","L3097","2016-03-05",75,14.8,7.4,"P13","G3","A11","P10",2
"43","D2905","L3096","2016-04-04",75,14.8,7.4,"P13","F3","B1","P5",2
"44","D2912","L3086","2016-04-04",75,16.6,5.6,"P13","D2","A2","P5",2
"45","D2917","L3038","2016-04-04",40,16.1,6.1,"P12","D8","F2","P5",2
"46","D2918","L3085","2016-04-04",75,16.7,5.5,"P13","C2","G2","P5",2
"47","D2921","L2986","2016-04-04",10,10.8,11.4,"P12","H1","B3","P5",2
"48","D2923","L3006","2016-04-04",10,6.5,15.7,"P12","D4","D3","P5",2
"49","D2924","L3029","2016-04-04",40,17.3,4.9,"P12","C7","E3","P5",2
"50","D2925","L3049","2016-04-04",40,13.8,8.4,"P12","G9","F3","P5",2
"51","D2928","L3104","2016-04-04",75,13.9,8.3,"P13","F4","A4","P5",2
"52","D2930","L3106","2016-04-04",75,13.9,8.3,"P13","H4","C4","P5",2
"53","D2931","L3060","2016-04-04",40,11.9,10.3,"P12","B11","D4","P5",2
"54","D2932","L3030","2016-04-04",40,17.3,4.9,"P12","D7","E4","P5",2
"55","D2933","L3003","2016-04-04",10,6.73,15.5,"P12","A4","F4","P5",2
"56","D2935","L3061","2016-04-04",40,11.9,10.3,"P12","C11","H4","P5",2
"57","D2938","L3109","2016-04-04",75,13.5,8.7,"P13","C5","C5","P5",2
"58","D2940","L3076","2016-04-04",75,18.9,3.3,"P13","B1","E5","P5",2
"59","D2942","L2981","2016-04-04",10,16.2,6,"P12","C1","G5","P5",2
"60","D2943","L2980","2016-04-04",10,16.8,5.4,"P12","B1","H5","P5",2
"61","D2947","L2999","2016-04-04",10,7.4,14.8,"P12","E3","D6","P5",2
"62","D2948","L3101","2016-04-04",75,14.3,7.9,"P13","C4","E6","P5",2
"63","D2951","L2982","2016-04-04",10,15.7,6.5,"P12","D1","H6","P5",2
"641","D2953","L3022","2016-04-04",10,4.92,17.3,"P12","D6","B7","P5",2
"651","D2956","L3110","2016-04-04",75,13.4,8.8,"P13","D5","E7","P5",2
"661","D2960","L3001","2016-04-04",10,6.76,15.4,"P12","G3","A8","P5",2
"671","D2961","L3050","2016-04-04",40,13.8,8.4,"P12","H9","B8","P5",2
"681","D2962","L3017","2016-04-04",10,5.15,17,"P12","G5","C8","P5",2
"691","D2965","L2990","2016-04-04",10,9.82,12.4,"P12","D2","F8","P5",2
"701","D2969","L3041","2016-04-04",40,15,7.2,"P12","G8","B9","P5",2
"711","D2970","L3102","2016-04-04",75,14.2,8,"P13","D4","C9","P5",2
"721","D2971","L2983","2016-04-04",10,13.8,8.4,"P12","E1","D9","P5",2
"731","D2973","L2985","2016-04-04",10,11.2,11,"P12","G1","F9","P5",2
"741","D2974","L3045","2016-04-04",40,14.2,8,"P12","C9","G9","P5",2
"751","D2978","L3040","2016-04-04",40,15.5,6.7,"P12","F8","C10","P5",2
"761","D2979","L2998","2016-04-04",10,7.46,14.7,"P12","D3","D10","P5",2
"771","D2981","L3099","2016-04-04",75,14.5,7.7,"P13","A4","F10","P5",2
"781","D2982","L2991","2016-04-04",10,9.51,12.7,"P12","E2","G10","P5",2
"791","D2988","L3089","2016-04-04",75,15.8,6.4,"P13","G2","E11","P5",2
"801","D2993","L3107","2016-04-04",75,13.7,8.5,"P13","A5","B12","P5",2
"811","D2997","L3046","2016-04-04",40,14.1,8.1,"P12","D9","F12","P5",2
"821","D2999","L3002","2016-04-04",10,6.73,15.5,"P12","H3","H12","P5",2
"83","D3098","L3056","2016-04-25",40,12.5,9.7,"P12","F10","C1","P6",2
"84","D3103","L3044","2016-04-25",40,14.6,7.6,"P12","B9","H1","P6",2
"85","D3104","L3073","2016-04-25",40,10.4,11.8,"P12","G12","A2","P6",2
"86","D3106","L3027","2016-04-25",40,18.5,3.7,"P12","A7","C2","P6",2
"87","D3110","L3054","2016-04-25",40,12.6,9.6,"P12","D10","G2","P6",2
"88","D3114","L3035","2016-04-25",40,16.8,5.4,"P12","A8","C3","P6",2
"89","D3115","L3032","2016-04-25",40,17.1,5.1,"P12","F7","D3","P6",2
"90","D3116","L3067","2016-04-25",40,11.3,10.9,"P12","A12","E3","P6",2
"91","D3118","L2997","2016-04-25",10,7.65,14.5,"P12","C3","G3","P6",2
