"","Row","Col","Row","Col","digest_id","ligation_id","DNA","vol_in","water","sourceloc","destloc","sourcewell","destwell"
"9","A",1,"A",1,"D3053","L2979",10,18.4,3.8,"P9","P12","A1","A1"
"10","B",1,"B",1,"D2943","L2980",10,16.8,5.4,"P9","P12","B1","B1"
"11","C",1,"C",1,"D2942","L2981",10,16.2,6,"P9","P12","C1","C1"
"12","D",1,"D",1,"D2951","L2982",10,15.7,6.5,"P9","P12","D1","D1"
"13","E",1,"E",1,"D2971","L2983",10,13.8,8.4,"P9","P12","E1","E1"
"14","F",1,"F",1,"D3290","L2984",10,13.4,8.8,"P9","P12","F1","F1"
"15","G",1,"G",1,"D2973","L2985",10,11.2,11,"P9","P12","G1","G1"
"16","H",1,"H",1,"D2921","L2986",10,10.8,11.4,"P9","P12","H1","H1"
"17","A",2,"A",2,"D2711","L2987",10,10.5,11.7,"P9","P12","A2","A2"
"18","B",2,"B",2,"D3264","L2988",10,10.5,11.7,"P9","P12","B2","B2"
"19","C",2,"C",2,"D3078","L2989",10,10.1,12.1,"P9","P12","C2","C2"
"20","D",2,"D",2,"D2965","L2990",10,9.82,12.4,"P9","P12","D2","D2"
"21","E",2,"E",2,"D2982","L2991",10,9.51,12.7,"P9","P12","E2","E2"
"22","F",2,"F",2,"D3011","L2992",10,9.03,13.2,"P9","P12","F2","F2"
"23","G",2,"G",2,"D3120","L2993",10,8.64,13.6,"P9","P12","G2","G2"
"24","H",2,"H",2,"D3146","L2994",10,8.58,13.6,"P9","P12","H2","H2"
"25","A",3,"A",3,"D3074","L2995",10,8.51,13.7,"P9","P12","A3","A3"
"26","B",3,"B",3,"D3023","L2996",10,8.24,14,"P9","P12","B3","B3"
"27","C",3,"C",3,"D3118","L2997",10,7.65,14.5,"P9","P12","C3","C3"
"28","D",3,"D",3,"D2979","L2998",10,7.46,14.7,"P9","P12","D3","D3"
"29","E",3,"E",3,"D2947","L2999",10,7.4,14.8,"P9","P12","E3","E3"
"30","F",3,"F",3,"D3252","L3000",10,7.02,15.2,"P9","P12","F3","F3"
"31","G",3,"G",3,"D2960","L3001",10,6.76,15.4,"P9","P12","G3","G3"
"32","H",3,"H",3,"D2999","L3002",10,6.73,15.5,"P9","P12","H3","H3"
"33","A",4,"A",4,"D2933","L3003",10,6.73,15.5,"P9","P12","A4","A4"
"34","B",4,"B",4,"D3094","L3004",10,6.66,15.5,"P9","P12","B4","B4"
"35","C",4,"C",4,"D3143","L3005",10,6.6,15.6,"P9","P12","C4","C4"
"36","D",4,"D",4,"D2923","L3006",10,6.5,15.7,"P9","P12","D4","D4"
"37","E",4,"E",4,"D3043","L3007",10,6.22,16,"P9","P12","E4","E4"
"38","F",4,"F",4,"D3292","L3008",10,6.1,16.1,"P9","P12","F4","F4"
"39","G",4,"G",4,"D3265","L3009",10,6.08,16.1,"P9","P12","G4","G4"
"40","H",4,"H",4,"D3045","L3010",10,5.96,16.2,"P9","P12","H4","H4"
"41","A",5,"A",5,"D3305","L3011",10,5.94,16.3,"P9","P12","A5","A5"
"42","B",5,"B",5,"D3128","L3012",10,5.86,16.3,"P9","P12","B5","B5"
"43","C",5,"C",5,"D3140","L3013",10,5.69,16.5,"P9","P12","C5","C5"
"44","D",5,"D",5,"D3257","L3014",10,5.51,16.7,"P9","P12","D5","D5"
"45","E",5,"E",5,"D3267","L3015",10,5.3,16.9,"P9","P12","E5","E5"
"46","F",5,"F",5,"D2842","L3016",10,5.25,16.9,"P9","P12","F5","F5"
"47","G",5,"G",5,"D2962","L3017",10,5.15,17,"P9","P12","G5","G5"
"48","H",5,"H",5,"D2778","L3018",10,5.12,17.1,"P9","P12","H5","H5"
"49","A",6,"A",6,"D3038","L3019",10,5.11,17.1,"P9","P12","A6","A6"
"50","B",6,"B",6,"D2805","L3020",10,4.96,17.2,"P9","P12","B6","B6"
"51","C",6,"C",6,"D3255","L3021",10,4.93,17.3,"P9","P12","C6","C6"
"52","D",6,"D",6,"D2953","L3022",10,4.92,17.3,"P9","P12","D6","D6"
"53","E",6,"E",6,"D3197","L3023",10,4.9,17.3,"P9","P12","E6","E6"
"54","F",6,"F",6,"D3301","L3024",10,4.74,17.5,"P9","P12","F6","F6"
"55","G",6,"G",6,"D3268","L3025",10,4.68,17.5,"P9","P12","G6","G6"
"56","H",6,"H",6,"D3256","L3026",10,4.64,17.6,"P9","P12","H6","H6"
"57","A",7,"A",7,"D3106","L3027",40,18.5,3.7,"P9","P12","A7","A7"
"58","B",7,"B",7,"D2730","L3028",40,18.3,3.9,"P9","P12","B7","B7"
"59","C",7,"C",7,"D2924","L3029",40,17.3,4.9,"P9","P12","C7","C7"
"60","D",7,"D",7,"D2932","L3030",40,17.3,4.9,"P9","P12","D7","D7"
"61","E",7,"E",7,"D3085","L3031",40,17.2,5,"P9","P12","E7","E7"
"62","F",7,"F",7,"D3115","L3032",40,17.1,5.1,"P9","P12","F7","F7"
"63","G",7,"G",7,"D3251","L3033",40,17.1,5.1,"P9","P12","G7","G7"
"64","H",7,"H",7,"D3206","L3034",40,16.9,5.3,"P9","P12","H7","H7"
"65","A",8,"A",8,"D3114","L3035",40,16.8,5.4,"P9","P12","A8","A8"
"66","B",8,"B",8,"D3202","L3036",40,16.5,5.7,"P9","P12","B8","B8"
"67","C",8,"C",8,"D3020","L3037",40,16.1,6.1,"P9","P12","C8","C8"
"68","D",8,"D",8,"D2917","L3038",40,16.1,6.1,"P9","P12","D8","D8"
"69","E",8,"E",8,"D3213","L3039",40,16,6.2,"P9","P12","E8","E8"
"70","F",8,"F",8,"D2978","L3040",40,15.5,6.7,"P9","P12","F8","F8"
"71","G",8,"G",8,"D2969","L3041",40,15,7.2,"P9","P12","G8","G8"
"72","H",8,"H",8,"D3289","L3042",40,14.9,7.3,"P9","P12","H8","H8"
"73","A",9,"A",9,"D3029","L3043",40,14.8,7.4,"P9","P12","A9","A9"
"74","B",9,"B",9,"D3103","L3044",40,14.6,7.6,"P9","P12","B9","B9"
"75","C",9,"C",9,"D2974","L3045",40,14.2,8,"P9","P12","C9","C9"
"76","D",9,"D",9,"D2997","L3046",40,14.1,8.1,"P9","P12","D9","D9"
"77","E",9,"E",9,"D3017","L3047",40,14,8.2,"P9","P12","E9","E9"
"78","F",9,"F",9,"D3309","L3048",40,13.9,8.3,"P9","P12","F9","F9"
"79","G",9,"G",9,"D2925","L3049",40,13.8,8.4,"P9","P12","G9","G9"
"80","H",9,"H",9,"D2961","L3050",40,13.8,8.4,"P9","P12","H9","H9"
"81","A",10,"A",10,"D3031","L3051",40,13.6,8.6,"P9","P12","A10","A10"
"82","B",10,"B",10,"D2785","L3052",40,13.4,8.8,"P9","P12","B10","B10"
"83","C",10,"C",10,"D3276","L3053",40,13,9.2,"P9","P12","C10","C10"
"84","D",10,"D",10,"D3110","L3054",40,12.6,9.6,"P9","P12","D10","D10"
"85","E",10,"E",10,"D3138","L3055",40,12.5,9.7,"P9","P12","E10","E10"
"86","F",10,"F",10,"D3098","L3056",40,12.5,9.7,"P9","P12","F10","F10"
"87","G",10,"G",10,"D3129","L3057",40,12.4,9.8,"P9","P12","G10","G10"
"88","H",10,"H",10,"D3300","L3058",40,12.4,9.8,"P9","P12","H10","H10"
"89","A",11,"A",11,"D3157","L3059",40,12.2,10,"P9","P12","A11","A11"
"90","B",11,"B",11,"D2931","L3060",40,11.9,10.3,"P9","P12","B11","B11"
"91","C",11,"C",11,"D2935","L3061",40,11.9,10.3,"P9","P12","C11","C11"
"92","D",11,"D",11,"D3069","L3062",40,11.5,10.7,"P9","P12","D11","D11"
"93","E",11,"E",11,"D3158","L3063",40,11.5,10.7,"P9","P12","E11","E11"
"94","F",11,"F",11,"D2750","L3064",40,11.4,10.8,"P9","P12","F11","F11"
"95","G",11,"G",11,"D3266","L3065",40,11.4,10.8,"P9","P12","G11","G11"
"96","H",11,"H",11,"D3281","L3066",40,11.4,10.8,"P9","P12","H11","H11"
"97","A",12,"A",12,"D3116","L3067",40,11.3,10.9,"P9","P12","A12","A12"
"98","B",12,"B",12,"D3224","L3068",40,11.2,11,"P9","P12","B12","B12"
"99","C",12,"C",12,"D2815","L3069",40,11.2,11,"P9","P12","C12","C12"
"100","D",12,"D",12,"D3082","L3070",40,11.2,11,"P9","P12","D12","D12"
"101","E",12,"E",12,"D3218","L3071",40,10.8,11.4,"P9","P12","E12","E12"
"102","F",12,"F",12,"D3009","L3072",40,10.6,11.6,"P9","P12","F12","F12"
"103","G",12,"G",12,"D3104","L3073",40,10.4,11.8,"P9","P12","G12","G12"
"104","H",12,"H",12,"D2821","L3074",40,10.4,11.8,"P9","P12","H12","H12"
"105","A",1,"A",1,"D2749","L3075",75,19.4,2.8,"P9","P13","A1","A1"
"106","B",1,"B",1,"D2940","L3076",75,18.9,3.3,"P9","P13","B1","B1"
"107","C",1,"C",1,"D3312","L3077",75,18.8,3.4,"P9","P13","C1","C1"
"108","D",1,"D",1,"D3088","L3078",75,18.5,3.7,"P9","P13","D1","D1"
"109","E",1,"E",1,"D2804","L3079",75,18.2,4,"P9","P13","E1","E1"
"110","F",1,"F",1,"D2758","L3080",75,17.8,4.4,"P9","P13","F1","F1"
"111","G",1,"G",1,"D3148","L3081",75,17.5,4.7,"P9","P13","G1","G1"
"112","H",1,"H",1,"D3315","L3082",75,17.2,5,"P9","P13","H1","H1"
"113","A",2,"A",2,"D3311","L3083",75,17.2,5,"P9","P13","A2","A2"
"114","B",2,"B",2,"D3145","L3084",75,16.8,5.4,"P9","P13","B2","B2"
"115","C",2,"C",2,"D2918","L3085",75,16.7,5.5,"P9","P13","C2","C2"
"116","D",2,"D",2,"D2912","L3086",75,16.6,5.6,"P9","P13","D2","D2"
"117","E",2,"E",2,"D2757","L3087",75,16.5,5.7,"P9","P13","E2","E2"
"118","F",2,"F",2,"D2801","L3088",75,16.4,5.8,"P9","P13","F2","F2"
"119","G",2,"G",2,"D2988","L3089",75,15.8,6.4,"P9","P13","G2","G2"
"120","H",2,"H",2,"D2803","L3090",75,15.8,6.4,"P9","P13","H2","H2"
"121","A",3,"A",3,"D2833","L3091",75,15.7,6.5,"P9","P13","A3","A3"
"122","B",3,"B",3,"D2732","L3092",75,15.6,6.6,"P9","P13","B3","B3"
"123","C",3,"C",3,"D2783","L3093",75,15.3,6.9,"P9","P13","C3","C3"
"124","D",3,"D",3,"D3084","L3094",75,15,7.2,"P9","P13","D3","D3"
"125","E",3,"E",3,"D3314","L3095",75,14.9,7.3,"P9","P13","E3","E3"
"126","F",3,"F",3,"D2905","L3096",75,14.8,7.4,"P9","P13","F3","F3"
"127","G",3,"G",3,"D2888","L3097",75,14.8,7.4,"P9","P13","G3","G3"
"128","H",3,"H",3,"D3133","L3098",75,14.6,7.6,"P9","P13","H3","H3"
"129","A",4,"A",4,"D2981","L3099",75,14.5,7.7,"P9","P13","A4","A4"
"130","B",4,"B",4,"D2877","L3100",75,14.3,7.9,"P9","P13","B4","B4"
"131","C",4,"C",4,"D2948","L3101",75,14.3,7.9,"P9","P13","C4","C4"
"132","D",4,"D",4,"D2970","L3102",75,14.2,8,"P9","P13","D4","D4"
"133","E",4,"E",4,"D2772","L3103",75,14.1,8.1,"P9","P13","E4","E4"
"134","F",4,"F",4,"D2928","L3104",75,13.9,8.3,"P9","P13","F4","F4"
"135","G",4,"G",4,"D2841","L3105",75,13.9,8.3,"P9","P13","G4","G4"
"136","H",4,"H",4,"D2930","L3106",75,13.9,8.3,"P9","P13","H4","H4"
"137","A",5,"A",5,"D2993","L3107",75,13.7,8.5,"P9","P13","A5","A5"
"138","B",5,"B",5,"D3156","L3108",75,13.5,8.7,"P9","P13","B5","B5"
"139","C",5,"C",5,"D2938","L3109",75,13.5,8.7,"P9","P13","C5","C5"
"140","D",5,"D",5,"D2956","L3110",75,13.4,8.8,"P9","P13","D5","D5"
"141","E",5,"E",5,"D3302","L3111",75,13.1,9.1,"P9","P13","E5","E5"
"142","F",5,"F",5,"D3296","L3112",75,11.2,11,"P9","P13","F5","F5"
"143","G",5,"G",5,"D3303","L3113",75,11.1,11.1,"P9","P13","G5","G5"
"144","H",5,"H",5,"D3335","L3114",75,9.51,12.7,"P9","P13","H5","H5"
"145","A",6,"A",6,"D3262","L3115",75,9.21,13,"P9","P13","A6","A6"
"146","B",6,"B",6,"D3288","L3116",75,9.16,13,"P9","P13","B6","B6"
"147","C",6,"C",6,"D3280","L3117",75,9.05,13.1,"P9","P13","C6","C6"
"148","D",6,"D",6,"D3283","L3118",75,8.9,13.3,"P9","P13","D6","D6"
"149","E",6,"E",6,"D2553","L3119",75,8.63,13.6,"P9","P13","E6","E6"
"150","F",6,"F",6,"D3275","L3120",75,8.42,13.8,"P9","P13","F6","F6"
"151","G",6,"G",6,"D3263","L3121",75,8.39,13.8,"P9","P13","G6","G6"
"152","H",6,"H",6,"D3274","L3122",75,7.98,14.2,"P9","P13","H6","H6"
"153","A",7,"A",7,"D3310","L3123",200,21.1,1.1,"P9","P13","A7","A7"
"154","B",7,"B",7,"D3322","L3124",200,21,1.2,"P9","P13","B7","B7"
"155","C",7,"C",7,"D3317","L3125",200,20.7,1.5,"P9","P13","C7","C7"
"156","D",7,"D",7,"D3323","L3126",200,20.7,1.5,"P9","P13","D7","D7"
"157","E",7,"E",7,"D3284","L3127",200,20.3,1.9,"P9","P13","E7","E7"
"158","F",7,"F",7,"D3272","L3128",200,19.4,2.8,"P9","P13","F7","F7"
"159","G",7,"G",7,"D3316","L3129",200,18.7,3.5,"P9","P13","G7","G7"
"160","H",7,"H",7,"D3320","L3130",200,18.4,3.8,"P9","P13","H7","H7"
"161","A",8,"A",8,"D3308","L3131",200,17.8,4.4,"P9","P13","A8","A8"
"162","B",8,"B",8,"D3297","L3132",200,17.1,5.1,"P9","P13","B8","B8"
"163","C",8,"C",8,"D3304","L3133",200,16.5,5.7,"P9","P13","C8","C8"
"164","D",8,"D",8,"D3319","L3134",200,16.3,5.9,"P9","P13","D8","D8"
"165","E",8,"E",8,"D3318","L3135",200,14.7,7.5,"P9","P13","E8","E8"
"166","F",8,"F",8,"D3287","L3136",200,14.7,7.5,"P9","P13","F8","F8"
"167","G",8,"G",8,"D3294","L3137",200,14.7,7.5,"P9","P13","G8","G8"
"168","H",8,"H",8,"D3295","L3138",200,14.2,8,"P9","P13","H8","H8"
"169","A",9,"A",9,"D3261","L3139",200,13.5,8.7,"P9","P13","A9","A9"
"170","B",9,"B",9,"D3298","L3140",200,12.6,9.6,"P9","P13","B9","B9"
"171","C",9,"C",9,"D3254","L3141",200,11.4,10.8,"P9","P13","C9","C9"
"172","D",9,"D",9,"D3321","L3142",200,11,11.2,"P9","P13","D9","D9"
"173","E",9,"E",9,"D3333","L3143",200,11,11.2,"P9","P13","E9","E9"
"174","F",9,"F",9,"D3253","L3144",200,10.7,11.5,"P9","P13","F9","F9"
"175","G",9,"G",9,"D3273","L3145",200,10.5,11.7,"P9","P13","G9","G9"
"176","H",9,"H",9,"D3338","L3146",200,10.4,11.8,"P9","P13","H9","H9"
"177","A",10,"A",10,"D3307","L3147",200,8.8,13.4,"P9","P13","A10","A10"
"178","B",10,"B",10,"D3331","L3148",200,8.37,13.8,"P9","P13","B10","B10"
"179","C",10,"C",10,"D3327","L3149",200,8.15,14,"P9","P13","C10","C10"
"180","D",10,"D",10,"D3313","L3150",200,7.54,14.7,"P9","P13","D10","D10"
"181","E",10,"E",10,"D3299","L3151",200,7.47,14.7,"P9","P13","E10","E10"
"182","F",10,"F",10,"D3306","L3152",200,6.25,15.9,"P9","P13","F10","F10"
"183","G",10,"G",10,"D3325","L3153",200,6.21,16,"P9","P13","G10","G10"
"184","H",10,"H",10,"D3258","L3154",200,5.54,16.7,"P9","P13","H10","H10"
"185","A",11,"A",11,"D3330","L3155",200,5.48,16.7,"P9","P13","A11","A11"
"186","B",11,"B",11,"D3282","L3156",200,5.3,16.9,"P9","P13","B11","B11"
"187","C",11,"C",11,"D3339","L3157",200,4.76,17.4,"P9","P13","C11","C11"
"188","D",11,"D",11,"D3329","L3158",200,4.46,17.7,"P9","P13","D11","D11"
"189","E",11,"E",11,"D3278","L3159",200,4.41,17.8,"P9","P13","E11","E11"
"190","F",11,"F",11,"D3326","L3160",200,4.34,17.9,"P9","P13","F11","F11"
"191","G",11,"G",11,"D3324","L3161",200,4.22,18,"P9","P13","G11","G11"
"192","H",11,"H",11,"D3336","L3162",200,4.15,18,"P9","P13","H11","H11"
"193","A",12,"A",12,"D3259","L3163",200,3.96,18.2,"P9","P13","A12","A12"
"194","B",12,"B",12,"D3337","L3164",200,3.73,18.5,"P9","P13","B12","B12"
"195","C",12,"C",12,"D3260","L3165",200,3.42,18.8,"P9","P13","C12","C12"
"196","D",12,"D",12,"D3328","L3166",200,3.37,18.8,"P9","P13","D12","D12"
"197","E",12,"E",12,"D3332","L3167",200,3.24,19,"P9","P13","E12","E12"
"198","F",12,"F",12,"D3334","L3168",200,3.15,19.1,"P9","P13","F12","F12"
"199","G",12,"G",12,"D3293","L3169",200,2.81,19.4,"P9","P13","G12","G12"
"200","H",12,"H",12,"D3279","L3170",200,1.5,20.7,"P9","P13","H12","H12"
