"digest_id","extraction_id","date","vol_in","ng_in","enzymes","final_vol","quant","DNA_ng","well","plate","notes","correction","corr_message","corr_editor","corr_date"
"","","0000-00-00",0,0,NA,NA,124.285,NA,NA,NA,NA,NA,NA,NA,NA
"D0001","E0034","2013-12-18",33.3,0,"SBfI_EcoRI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_048D001","","","","0000-00-00"
"D0002","E0034","2013-12-18",33.3,1000,"SBfI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_048D002","","","","0000-00-00"
"D0003","E0034","2013-12-18",33.3,1000,"SBfI_MluCI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_048D003","","","","0000-00-00"
"D0004","E0034","2013-12-18",33.3,1000,"EcoRI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_048D004","","","","0000-00-00"
"D0005","E0034","2013-12-18",33.3,1000,"PstI_EcoRI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_048D005","","","","0000-00-00"
"D0006","E0034","2013-12-18",33.3,1000,"PstI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_048D006","","","","0000-00-00"
"D0007","E0034","2013-12-18",33.3,1000,"PstI_MluCI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_048D007","","","","0000-00-00"
"D0008","E0034","2013-12-18",33.3,1000,"MluCI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_048D008","","","","0000-00-00"
"D0009","E0035","2013-12-18",42.2,1000,"SBfI_EcoRI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_050D009","","","","0000-00-00"
"D0010","E0035","2013-12-18",42.2,1000,"SBfI_MluCI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_050D010","","","","0000-00-00"
"D0011","E0035","2013-12-18",42.2,1000,"PstI_EcoRI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_050D011","","","","0000-00-00"
"D0012","E0035","2013-12-18",42.2,1000,"PstI_MluCI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: APCL12_050D012","","","","0000-00-00"
"D0013","E0037","2013-12-18",32.1,1000,"SBfI_EcoRI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_001D001","","","","0000-00-00"
"D0014","E0037","2013-12-18",32.1,1000,"SBfI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_001D002","","","","0000-00-00"
"D0015","E0037","2013-12-18",32.1,1000,"SBfI_MluCI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_001D003","","","","0000-00-00"
"D0016","E0037","2013-12-18",32.1,1000,"EcoRI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_001D004","","","","0000-00-00"
"D0017","E0037","2013-12-18",32.1,1000,"PstI_EcoRI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_001D005","","","","0000-00-00"
"D0018","E0037","2013-12-18",32.1,1000,"PstI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_001D006","","","","0000-00-00"
"D0019","E0037","2013-12-18",32.1,1000,"PstI_MluCI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_001D007","","","","0000-00-00"
"D0020","E0037","2013-12-18",32.1,1000,"MluCI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_001D008","","","","0000-00-00"
"D0021","E0038","2013-12-18",45.5,1000,"SBfI_EcoRI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_002D009","","","","0000-00-00"
"D0022","E0038","2013-12-18",45.5,1000,"SBfI_MluCI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_002D010","","","","0000-00-00"
"D0023","E0038","2013-12-18",45.5,1000,"PstI_EcoRI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_002D011","","","","0000-00-00"
"D0024","E0038","2013-12-18",45.5,1000,"PstI_MluCI",NA,NA,0,NA,NA,"Bioanalyzer 12/19/Bad digest recipe , old Digest ID: SPSO13_002D012","","","","0000-00-00"
"D0025","E0022","2013-12-18",57.5,1000,"SBfI",NA,NA,0,NA,NA,"Bioanalzyer 12/19/Bad digest recipe , old Digest ID: PADE13_011D006","","","","0000-00-00"
"D0026","E0022","2013-12-18",57.5,1000,"SBfI_MluCI",NA,NA,0,NA,NA,"Bioanalzyer 12/19/Bad digest recipe , old Digest ID: PADE13_011D007","","","","0000-00-00"
"D0027","E0022","2013-12-18",57.5,1000,"EcoRI",NA,NA,0,NA,NA,"Bioanalzyer 12/19/Bad digest recipe , old Digest ID: PADE13_011D008","","","","0000-00-00"
"D0028","E0022","2013-12-18",57.5,1000,"PstI_EcoRI",NA,NA,0,NA,NA,"Bioanalzyer 12/19/Bad digest recipe , old Digest ID: PADE13_011D009","","","","0000-00-00"
"D0029","E0022","2013-12-18",57.5,1000,"PstI",NA,NA,0,NA,NA,"Bioanalzyer 12/19/Bad digest recipe , old Digest ID: PADE13_011D010","","","","0000-00-00"
"D0030","E0022","2013-12-18",57.5,1000,"PstI_MluCI",NA,NA,0,NA,NA,"Bioanalzyer 12/19/Bad digest recipe , old Digest ID: PADE13_011D011","","","","0000-00-00"
"D0031","E0022","2013-12-18",57.5,1000,"MluCI",NA,NA,0,NA,NA,"Bioanalzyer 12/19/Bad digest recipe , old Digest ID: PADE13_011D012","","","","0000-00-00"
"D0032","E0037","2013-12-20",32.1,1000,"PstI",NA,NA,0,NA,NA,"Bioanalyzer 1/2/2014 , old Digest ID: D13","","","","0000-00-00"
"D0033","E0037","2013-12-20",22.3,694,"EcoRI",NA,NA,0,NA,NA,"Bioanalyzer 1/2/2014 , old Digest ID: D14","","","","0000-00-00"
"D0034","E0037","2013-12-20",32.1,1000,"PstI_EcoRI",NA,NA,0,NA,NA,"Bioanalyzer 1/2/2014 , old Digest ID: D15","","","","0000-00-00"
"D0035","E0038","2013-12-20",45.5,1000,"PstI",NA,NA,0,NA,NA,"Bioanalyzer 1/2/2014 , old Digest ID: D16","","","","0000-00-00"
"D0036","E0038","2013-12-20",45.5,1000,"EcoRI",NA,NA,0,NA,NA,"Bioanalyzer 1/2/2014 , old Digest ID: D17","","","","0000-00-00"
"D0037","E0038","2013-12-20",45.5,1000,"PstI_EcoRI",NA,NA,0,NA,NA,"Bioanalyzer 1/2/2014 , old Digest ID: D18","","","","0000-00-00"
"D0038","E0022","2013-12-20",22.3,388,"PstI_EcoRI",NA,NA,0,NA,NA,"Bioanalzyer 1/2/2014 , old Digest ID: PADE13_011D013","","","","0000-00-00"
"D0039","E0022","2013-12-20",22.3,388,"SBfI_EcoRI",NA,NA,0,NA,NA,"Bioanalzyer 1/2/2015 , old Digest ID: PADE13_011D014","","","","0000-00-00"
"D0040","E0022","2013-12-20",22.3,388,"SBfI_MluCI",NA,NA,0,NA,NA,"Bioanalzyer 1/2/2016 , old Digest ID: PADE13_011D015","","","","0000-00-00"
"D0041","E0022","2013-12-20",22.3,388,"PstI",NA,NA,0,NA,NA,"Bioanalzyer 1/2/2017 , old Digest ID: PADE13_011D016","","","","0000-00-00"
"D0042","E0022","2013-12-20",22.3,388,"EcoRI",NA,NA,0,NA,NA,"Bioanalzyer 1/2/2018 , old Digest ID: PADE13_011D017","","","","0000-00-00"
"D0043","E0022","2013-12-20",22.3,388,"SBfI",NA,NA,0,NA,NA,"Bioanalzyer 1/2/2019 , old Digest ID: PADE13_011D018","","","","0000-00-00"
"D0044","E0042","2014-01-06",22.5,551,"SBfI",NA,NA,0,NA,NA,"Bioanalyzer 1/6/2014 , old Digest ID: SPSO13_001D019","","","","0000-00-00"
"D0045","E0042","2014-01-06",40.8,1000,"MluCI",NA,NA,0,NA,NA,"Bioanalyzer 1/6/2014 , old Digest ID: SPSO13_001D020","","","","0000-00-00"
"D0046","E0042","2014-01-06",40.8,1000,"SBfI_EcoRI",NA,NA,0,NA,NA,"Bioanalyzer 1/6/2014 , old Digest ID: SPSO13_001D021","","","","0000-00-00"
"D0047","E0042","2014-01-06",44.3,1085,"SBfI_MluCI",40,4.25,0.17,NA,NA,"stopped after digest cleanup decided to use SBfI_EcoRI, Pool 4 , old Digest ID: SPSO13_001D022","","","","0000-00-00"
"D0048","E0042","2014-01-06",40.8,1000,"PstI_MluCI",NA,NA,0,NA,NA,"Bioanalyzer 1/6/2014 , old Digest ID: SPSO13_001D023","","","","0000-00-00"
"D0049","E0043","2014-01-06",34.1,1000,"PstI_MluCI",NA,NA,0,NA,NA,"Bioanalyzer 1/6/2014 , old Digest ID: SPSO13_002D024","","","","0000-00-00"
"D0050","E0043","2014-01-06",44.3,1298,"SBfI_MluCI",40,7.49,0.3,NA,NA,"stopped after digest cleanup decided to use SBfI_EcoRI, Pool 4 , old Digest ID: SPSO13_002D025","","","","0000-00-00"
