"","digest_ID","dnavol","watervol","ligation_ID","destloc","welldest","wellsource","sourceloc"
"1","D3001",4.21,17.99,"L2776","P11","A1","B1","P9"
"97","D3001",4.21,17.99,"L2776","P11","A1","A1","P12"
"2","D3002",11.29,10.91,"L2777","P11","B1","C1","P9"
"98","D3002",11.29,10.91,"L2777","P11","B1","A1","P12"
"3","D3012",13.45,8.75,"L2778","P11","C1","E2","P9"
"99","D3012",13.45,8.75,"L2778","P11","C1","A1","P12"
"4","D3028",4.75,17.45,"L2779","P11","D1","E4","P9"
"100","D3028",4.75,17.45,"L2779","P11","D1","A1","P12"
"5","D3030",6.73,15.47,"L2780","P11","E1","G4","P9"
"101","D3030",6.73,15.47,"L2780","P11","E1","A1","P12"
"6","D3032",11.8,10.4,"L2781","P11","F1","A5","P9"
"102","D3032",11.8,10.4,"L2781","P11","F1","A1","P12"
"7","D3033",4.08,18.12,"L2782","P11","G1","B5","P9"
"103","D3033",4.08,18.12,"L2782","P11","G1","A1","P12"
"8","D3039",3.48,18.72,"L2783","P11","H1","H5","P9"
"104","D3039",3.48,18.72,"L2783","P11","H1","A1","P12"
"9","D3040",12.58,9.62,"L2784","P11","A2","A6","P9"
"105","D3040",12.58,9.62,"L2784","P11","A2","A1","P12"
"10","D3044",9.22,12.98,"L2785","P11","B2","E6","P9"
"106","D3044",9.22,12.98,"L2785","P11","B2","A1","P12"
"11","D3048",2.96,19.24,"L2786","P11","C2","A7","P9"
"107","D3048",2.96,19.24,"L2786","P11","C2","A1","P12"
"12","D3050",7.01,15.19,"L2787","P11","D2","C7","P9"
"108","D3050",7.01,15.19,"L2787","P11","D2","A1","P12"
"13","D3051",3.7,18.5,"L2788","P11","E2","D7","P9"
"109","D3051",3.7,18.5,"L2788","P11","E2","A1","P12"
"14","D3055",13.98,8.22,"L2789","P11","F2","H7","P9"
"110","D3055",13.98,8.22,"L2789","P11","F2","A1","P12"
"15","D3056",2.87,19.33,"L2790","P11","G2","A8","P9"
"111","D3056",2.87,19.33,"L2790","P11","G2","A1","P12"
"16","D3058",8.35,13.85,"L2791","P11","H2","C8","P9"
"112","D3058",8.35,13.85,"L2791","P11","H2","A1","P12"
"17","D3059",4.13,18.07,"L2792","P11","A3","D8","P9"
"113","D3059",4.13,18.07,"L2792","P11","A3","A1","P12"
"18","D3060",4.22,17.98,"L2793","P11","B3","E8","P9"
"114","D3060",4.22,17.98,"L2793","P11","B3","A1","P12"
"19","D3062",13.74,8.46,"L2794","P11","C3","G8","P9"
"115","D3062",13.74,8.46,"L2794","P11","C3","A1","P12"
"20","D3064",6.34,15.86,"L2795","P11","D3","A9","P9"
"116","D3064",6.34,15.86,"L2795","P11","D3","A1","P12"
"21","D3066",4.48,17.72,"L2796","P11","E3","C9","P9"
"117","D3066",4.48,17.72,"L2796","P11","E3","A1","P12"
"22","D3072",8.07,14.13,"L2797","P11","F3","A10","P9"
"118","D3072",8.07,14.13,"L2797","P11","F3","A1","P12"
"23","D3079",12.12,10.08,"L2798","P11","G3","H10","P9"
"119","D3079",12.12,10.08,"L2798","P11","G3","A1","P12"
"24","D3080",4.9,17.3,"L2799","P11","H3","A11","P9"
"120","D3080",4.9,17.3,"L2799","P11","H3","A1","P12"
"25","D3083",5.66,16.54,"L2800","P11","A4","D11","P9"
"121","D3083",5.66,16.54,"L2800","P11","A4","A1","P12"
"26","D3087",8.62,13.58,"L2801","P11","B4","H11","P9"
"122","D3087",8.62,13.58,"L2801","P11","B4","A1","P12"
"27","D3089",8.46,13.74,"L2802","P11","C4","B12","P9"
"123","D3089",8.46,13.74,"L2802","P11","C4","A1","P12"
"28","D3091",10.03,12.17,"L2803","P11","D4","D12","P9"
"124","D3091",10.03,12.17,"L2803","P11","D4","A1","P12"
"29","D3092",3.54,18.66,"L2804","P11","E4","E12","P9"
"125","D3092",3.54,18.66,"L2804","P11","E4","A1","P12"
"30","D3095",5.38,16.82,"L2805","P11","F4","H12","P9"
"126","D3095",5.38,16.82,"L2805","P11","F4","A1","P12"
"31","D3100",9.64,12.56,"L2806","P11","G4","E1","P10"
