"","number","sample_ID","date","method","final_vol"
"1","E3160","APCL16_095",2016-09-06,"DNeasy 96",200
"2","E3171","APCL16_096",2016-09-06,"DNeasy 96",200
"3","E3182","APCL16_097",2016-09-06,"DNeasy 96",200
"4","E3193","APCL16_098",2016-09-06,"DNeasy 96",200
"5","E3204","APCL16_099",2016-09-06,"DNeasy 96",200
"6","E3215","APCL16_100",2016-09-06,"DNeasy 96",200
"7","E3226","APCL16_101",2016-09-06,"DNeasy 96",200
"8","E3237","APCL16_102",2016-09-06,"DNeasy 96",200
"9","E3248","APCL16_103",2016-09-06,"DNeasy 96",200
"10","E3161","APCL16_104",2016-09-06,"DNeasy 96",200
"11","E3162","APCL16_105",2016-09-06,"DNeasy 96",200
"12","E3163","XXXX",2016-09-06,"DNeasy 96",200
"13","E3164","APCL16_106",2016-09-06,"DNeasy 96",200
"14","E3165","APCL16_107",2016-09-06,"DNeasy 96",200
"15","E3166","APCL16_108",2016-09-06,"DNeasy 96",200
"16","E3167","APCL16_109",2016-09-06,"DNeasy 96",200
"17","E3168","APCL16_110",2016-09-06,"DNeasy 96",200
"18","E3169","APCL16_111",2016-09-06,"DNeasy 96",200
"19","E3170","APCL16_112",2016-09-06,"DNeasy 96",200
"20","E3172","APCL16_113",2016-09-06,"DNeasy 96",200
"21","E3173","APCL16_114",2016-09-06,"DNeasy 96",200
"22","E3174","APCL16_115",2016-09-06,"DNeasy 96",200
"23","E3175","APCL16_116",2016-09-06,"DNeasy 96",200
"24","E3176","APCL16_117",2016-09-06,"DNeasy 96",200
"25","E3177","APCL16_118",2016-09-06,"DNeasy 96",200
"26","E3178","APCL16_119",2016-09-06,"DNeasy 96",200
"27","E3179","APCL16_120",2016-09-06,"DNeasy 96",200
"28","E3180","APCL16_121",2016-09-06,"DNeasy 96",200
"29","E3181","APCL16_122",2016-09-06,"DNeasy 96",200
"30","E3183","APCL16_123",2016-09-06,"DNeasy 96",200
"31","E3184","APCL16_124",2016-09-06,"DNeasy 96",200
"32","E3185","APCL16_125",2016-09-06,"DNeasy 96",200
"33","E3186","APCL16_126",2016-09-06,"DNeasy 96",200
"34","E3187","APCL16_127",2016-09-06,"DNeasy 96",200
"35","E3188","APCL16_128",2016-09-06,"DNeasy 96",200
"36","E3189","APCL16_129",2016-09-06,"DNeasy 96",200
"37","E3190","APCL16_130",2016-09-06,"DNeasy 96",200
"38","E3191","APCL16_131",2016-09-06,"DNeasy 96",200
"39","E3192","APCL16_132",2016-09-06,"DNeasy 96",200
"40","E3194","APCL16_133",2016-09-06,"DNeasy 96",200
"41","E3195","APCL16_134",2016-09-06,"DNeasy 96",200
"42","E3196","APCL16_135",2016-09-06,"DNeasy 96",200
"43","E3197","APCL16_136",2016-09-06,"DNeasy 96",200
"44","E3198","APCL16_137",2016-09-06,"DNeasy 96",200
"45","E3199","APCL16_138",2016-09-06,"DNeasy 96",200
"46","E3200","APCL16_139",2016-09-06,"DNeasy 96",200
"47","E3201","APCL16_140",2016-09-06,"DNeasy 96",200
"48","E3202","APCL16_141",2016-09-06,"DNeasy 96",200
"49","E3203","APCL16_142",2016-09-06,"DNeasy 96",200
"50","E3205","APCL16_143",2016-09-06,"DNeasy 96",200
"51","E3206","APCL16_144",2016-09-06,"DNeasy 96",200
"52","E3207","APCL16_145",2016-09-06,"DNeasy 96",200
"53","E3208","APCL16_146",2016-09-06,"DNeasy 96",200
"54","E3209","APCL16_147",2016-09-06,"DNeasy 96",200
"55","E3210","APCL16_148",2016-09-06,"DNeasy 96",200
"56","E3211","APCL16_149",2016-09-06,"DNeasy 96",200
"57","E3212","APCL16_150",2016-09-06,"DNeasy 96",200
"58","E3213","APCL16_151",2016-09-06,"DNeasy 96",200
