"","number","sample_ID","date","method","final_vol"
"1","E3160","APCL16_001",2016-09-06,"DNeasy 96",200
"2","E3171","APCL16_002",2016-09-06,"DNeasy 96",200
"3","E3182","APCL16_003",2016-09-06,"DNeasy 96",200
"4","E3193","APCL16_004",2016-09-06,"DNeasy 96",200
"5","E3204","APCL16_005",2016-09-06,"DNeasy 96",200
"6","E3215","APCL16_006",2016-09-06,"DNeasy 96",200
"7","E3226","APCL16_007",2016-09-06,"DNeasy 96",200
"8","E3237","APCL16_008",2016-09-06,"DNeasy 96",200
"9","E3248","APCL16_009",2016-09-06,"DNeasy 96",200
"10","E3161","APCL16_010",2016-09-06,"DNeasy 96",200
"11","E3162","APCL16_011",2016-09-06,"DNeasy 96",200
"12","E3163","XXXX",2016-09-06,"DNeasy 96",200
"13","E3164","APCL16_012",2016-09-06,"DNeasy 96",200
"14","E3165","APCL16_013",2016-09-06,"DNeasy 96",200
"15","E3166","APCL16_014",2016-09-06,"DNeasy 96",200
"16","E3167","APCL16_015",2016-09-06,"DNeasy 96",200
"17","E3168","APCL16_016",2016-09-06,"DNeasy 96",200
"18","E3169","APCL16_017",2016-09-06,"DNeasy 96",200
"19","E3170","APCL16_018",2016-09-06,"DNeasy 96",200
"20","E3172","APCL16_019",2016-09-06,"DNeasy 96",200
"21","E3173","APCL16_020",2016-09-06,"DNeasy 96",200
"22","E3174","APCL16_021",2016-09-06,"DNeasy 96",200
"23","E3175","APCL16_022",2016-09-06,"DNeasy 96",200
"24","E3176","APCL16_023",2016-09-06,"DNeasy 96",200
"25","E3177","APCL16_024",2016-09-06,"DNeasy 96",200
"26","E3178","APCL16_025",2016-09-06,"DNeasy 96",200
"27","E3179","APCL16_026",2016-09-06,"DNeasy 96",200
"28","E3180","APCL16_027",2016-09-06,"DNeasy 96",200
"29","E3181","APCL16_028",2016-09-06,"DNeasy 96",200
"30","E3183","APCL16_029",2016-09-06,"DNeasy 96",200
"31","E3184","APCL16_030",2016-09-06,"DNeasy 96",200
"32","E3185","APCL16_031",2016-09-06,"DNeasy 96",200
"33","E3186","APCL16_032",2016-09-06,"DNeasy 96",200
"34","E3187","APCL16_033",2016-09-06,"DNeasy 96",200
"35","E3188","APCL16_034",2016-09-06,"DNeasy 96",200
"36","E3189","APCL16_035",2016-09-06,"DNeasy 96",200
"37","E3190","APCL16_036",2016-09-06,"DNeasy 96",200
"38","E3191","APCL16_037",2016-09-06,"DNeasy 96",200
"39","E3192","APCL16_038",2016-09-06,"DNeasy 96",200
"40","E3194","APCL16_039",2016-09-06,"DNeasy 96",200
"41","E3195","APCL16_040",2016-09-06,"DNeasy 96",200
"42","E3196","APCL16_041",2016-09-06,"DNeasy 96",200
"43","E3197","APCL16_042",2016-09-06,"DNeasy 96",200
"44","E3198","APCL16_043",2016-09-06,"DNeasy 96",200
"45","E3199","APCL16_044",2016-09-06,"DNeasy 96",200
"46","E3200","APCL16_045",2016-09-06,"DNeasy 96",200
"47","E3201","APCL16_046",2016-09-06,"DNeasy 96",200
"48","E3202","APCL16_047",2016-09-06,"DNeasy 96",200
"49","E3203","APCL16_048",2016-09-06,"DNeasy 96",200
"50","E3205","APCL16_049",2016-09-06,"DNeasy 96",200
"51","E3206","APCL16_050",2016-09-06,"DNeasy 96",200
"52","E3207","APCL16_051",2016-09-06,"DNeasy 96",200
"53","E3208","APCL16_052",2016-09-06,"DNeasy 96",200
"54","E3209","APCL16_053",2016-09-06,"DNeasy 96",200
"55","E3210","APCL16_054",2016-09-06,"DNeasy 96",200
"56","E3211","APCL16_055",2016-09-06,"DNeasy 96",200
