"","number","sample_ID","date","method","final_vol","quant","dna"
"1","E3064","APCL16_095",2016-09-06,"DNeasy 96",200,39.61,7.922
"2","E3065","APCL16_096",2016-09-06,"DNeasy 96",200,107.797,21.5594
"3","E3066","APCL16_097",2016-09-06,"DNeasy 96",200,100.853,20.1706
"4","E3067","APCL16_098",2016-09-06,"DNeasy 96",200,158.137,31.6274
"5","E3068","APCL16_099",2016-09-06,"DNeasy 96",200,68.272,13.6544
"6","E3069","APCL16_100",2016-09-06,"DNeasy 96",200,47.938,9.5876
"7","E3070","APCL16_101",2016-09-06,"DNeasy 96",200,129.199,25.8398
"8","E3071","APCL16_102",2016-09-06,"DNeasy 96",200,35.582,7.1164
"9","E3072","APCL16_103",2016-09-06,"DNeasy 96",200,115.686,23.1372
"10","E3073","APCL16_104",2016-09-06,"DNeasy 96",200,118.919,23.7838
"11","E3074","APCL16_105",2016-09-06,"DNeasy 96",200,88.557,17.7114
"12","E3075","XXXX",2016-09-06,"DNeasy 96",200,-1.19,-0.238
"13","E3076","APCL16_106",2016-09-06,"DNeasy 96",200,26.269,5.2538
"14","E3077","APCL16_107",2016-09-06,"DNeasy 96",200,181.832,36.3664
"15","E3078","APCL16_108",2016-09-06,"DNeasy 96",200,23.374,4.6748
"16","E3079","APCL16_109",2016-09-06,"DNeasy 96",200,38.476,7.6952
"17","E3080","APCL16_110",2016-09-06,"DNeasy 96",200,193.897,38.7794
"18","E3081","APCL16_111",2016-09-06,"DNeasy 96",200,67.097,13.4194
"19","E3082","APCL16_112",2016-09-06,"DNeasy 96",200,24.679,4.9358
"20","E3083","APCL16_113",2016-09-06,"DNeasy 96",200,175.197,35.0394
"21","E3084","APCL16_114",2016-09-06,"DNeasy 96",200,195.926,39.1852
"22","E3085","APCL16_115",2016-09-06,"DNeasy 96",200,32.547,6.5094
"23","E3086","APCL16_116",2016-09-06,"DNeasy 96",200,95.217,19.0434
"24","E3087","APCL16_117",2016-09-06,"DNeasy 96",200,31.042,6.2084
"25","E3088","APCL16_118",2016-09-06,"DNeasy 96",200,58.621,11.7242
"26","E3089","APCL16_119",2016-09-06,"DNeasy 96",200,118.084,23.6168
"27","E3090","APCL16_120",2016-09-06,"DNeasy 96",200,21.788,4.3576
"28","E3091","APCL16_121",2016-09-06,"DNeasy 96",200,148.988,29.7976
"29","E3092","APCL16_122",2016-09-06,"DNeasy 96",200,155.133,31.0266
"30","E3093","APCL16_123",2016-09-06,"DNeasy 96",200,28.771,5.7542
"31","E3094","APCL16_124",2016-09-06,"DNeasy 96",200,13.502,2.7004
"32","E3095","APCL16_125",2016-09-06,"DNeasy 96",200,214.062,42.8124
"33","E3096","APCL16_126",2016-09-06,"DNeasy 96",200,185.042,37.0084
"34","E3097","APCL16_127",2016-09-06,"DNeasy 96",200,119.653,23.9306
"35","E3098","APCL16_128",2016-09-06,"DNeasy 96",200,199.863,39.9726
