"","Row","Col","Ligation_ID","extraction_ID","date","destwell"
"1","A",1,"L0288","E0378","2014-05-30","A1"
"2","B",1,"L0370","E0474","2014-05-30","B1"
"3","C",1,"L0377","E0485","2014-05-30","C1"
"4","D",1,"L0413","E0165","2014-05-30","D1"
"5","E",1,"L0415","E0167","2014-05-30","E1"
"6","F",1,"L0425","E0215","2014-05-30","F1"
"7","G",1,"L0427","E0226","2014-05-30","G1"
"8","H",1,"L0443","E0328","2014-05-30","H1"
"9","A",2,"L0606","E1095","2014-09-18","A2"
"10","B",2,"L0610","E1108","2014-09-18","B2"
"11","C",2,"L0697","E0772","2014-09-17","C2"
"12","D",2,"L0715","E0922","2014-09-18","D2"
"13","E",2,"L0718","E0963","2014-09-18","E2"
"14","F",2,"L0738","E1245","2014-10-08","F2"
"15","G",2,"L0742","E1478","2014-10-08","G2"
"16","H",2,"L0747","E1385","2014-10-08","H2"
"17","A",3,"L0764","E1488","2014-10-08","A3"
"18","B",3,"L0781","E0924","2014-09-18","B3"
"19","C",3,"L0822","E1218","2014-10-08","C3"
"20","D",3,"L0846","E0570","2014-07-31","D3"
"21","E",3,"L0908","E0921","2014-09-18","E3"
"22","F",3,"L0909","E0923","2014-09-18","F3"
"23","G",3,"L0910","E0925","2014-09-18","G3"
"24","H",3,"L0911","E0926","2014-09-18","H3"
"25","A",4,"L0912","E0933","2014-09-18","A4"
"26","B",4,"L0914","E0950","2014-09-18","B4"
"27","C",4,"L0916","E0974","2014-09-18","C4"
"28","D",4,"L0922","E0867","2014-10-08","D4"
"29","E",4,"L0936","E1483","2014-10-08","E4"
"30","F",4,"L0973","E1382","2014-10-08","F4"
"31","G",4,"L0974","E1394","2014-10-08","G4"
"32","H",4,"L0994","E0968","2014-09-18","H4"
"33","A",5,"L1072","E0228","2014-05-30","A5"
"34","B",5,"L1088","E0250","2014-05-30","B5"
"35","C",5,"L1238","E1480","2014-10-08","C5"
"36","D",5,"L1241","E1388","2014-10-08","D5"
"37","E",5,"L1251","E0931","2014-09-18","E5"
"38","F",5,"L1276","E0962","2014-09-18","F5"
"39","G",5,"L1288","E1397","2014-10-08","G5"
"40","H",5,"L1292","E0928","2014-09-18","H5"
"41","A",6,"L1345","E1297","2014-10-08","A6"
"42","B",6,"L1667","E0492","2014-05-30","B6"
"43","C",6,"L1668","E0516","2014-05-30","C6"
"44","D",6,"L1705","E1350","2014-10-08","D6"
"45","E",6,"L2283","E1866","2015-06-29","E6"
"46","F",6,"L2385","E1867","2015-06-29","F6"
"47","G",6,"L2444","E1068","2014-09-18","G6"
"48","H",6,"L2529","E0727","2014-09-17","H6"
"49","A",7,"L2695","E2499","2016-02-19","A7"
"50","B",7,"L2716","E2521","2016-02-19","B7"
"51","C",7,"L2731","E2538","2016-02-19","C7"
"52","D",7,"L2754","E2588","2016-02-19","D7"
"53","E",7,"L2764","E2617","2016-02-19","E7"
"54","F",7,"L2772","E2632","2016-02-19","F7"
"55","G",7,"L2818","E2851","2016-04-20","G7"
"56","H",7,"L2850","E2931","2016-04-20","H7"
"57","A",8,"L2882","E2448","2015-11-18","A8"
"58","B",8,"L2900","E2744","2016-03-05","B8"
"59","C",8,"L2904","E2757","2016-03-05","C8"
"60","D",8,"L0945","E0792","2014-09-17","D8"
"61","E",8,"L2935","E2852","2016-04-20","E8"
