"","digest_ID","extraction_ID","date","vol_in","ng_in","enzymes","final_vol","AdjResult","DNA_ng"
"1","D3253","E1095",2016-09-18,30,2448.51,"PstI_MluCI",40,18.647,745.88
"2","D3254","E1108",2016-09-18,30,1180.02,"PstI_MluCI",40,17.473,698.92
"3","D3255","E0772",2016-09-18,30,272.34,"PstI_MluCI",40,2.029,81.16
"4","D3256","E0922",2016-09-18,30,334.32,"PstI_MluCI",40,2.157,86.28
"5","D3257","E0963",2016-09-18,30,247.83,"PstI_MluCI",40,1.816,72.64
"6","D3258","E1245",2016-09-18,30,2881.89,"PstI_MluCI",40,36.073,1442.92
"7","D3259","E1478",2016-09-18,30,2521.26,"PstI_MluCI",40,50.442,2017.68
"8","D3260","E1385",2016-09-18,30,3655.83,"PstI_MluCI",40,58.414,2336.56
"9","D3261","E1488",2016-09-18,30,1332.39,"PstI_MluCI",40,14.842,593.68
"10","D3262","E0924",2016-09-18,30,538.68,"PstI_MluCI",40,8.14,325.6
"11","D3263","E1218",2016-09-18,30,419.28,"PstI_MluCI",40,8.938,357.52
"12","D3264","E0570",2016-09-18,30,152.13,"PstI_MluCI",40,0.956,38.24
"13","D3265","E0921",2016-09-18,30,244.71,"PstI_MluCI",40,1.646,65.84
"14","D3266","E0923",2016-09-18,30,332.7,"PstI_MluCI",40,3.514,140.56
"15","D3267","E0925",2016-09-18,30,369.12,"PstI_MluCI",40,1.887,75.48
"16","D3268","E0926",2016-09-18,30,285.81,"PstI_MluCI",40,2.135,85.4
"17","D3269","E0933",2016-09-18,30,461.37,"PstI_MluCI",40,0.462,18.48
"18","D3270","E0950",2016-09-18,30,308.49,"PstI_MluCI",40,-0.292,-11.68
"19","D3271","E0974",2016-09-18,30,128.79,"PstI_MluCI",40,0.023,0.92
"20","D3272","E0867",2016-09-18,30,2806.17,"PstI_MluCI",40,10.318,412.72
"21","D3273","E1483",2016-09-18,30,2013.36,"PstI_MluCI",40,19.058,762.32
"22","D3274","E1382",2016-09-18,30,1140.12,"PstI_MluCI",40,9.402,376.08
"23","D3275","E1394",2016-09-18,30,1118.04,"PstI_MluCI",40,8.905,356.2
"24","D3276","E0968",2016-09-18,30,567.87,"PstI_MluCI",40,3.08,123.2
"25","D3277","E0250",2016-09-18,30,91.41,"PstI_MluCI",40,0.071,2.84
"26","D3278","E1480",2016-09-18,30,3217.02,"PstI_MluCI",40,45.383,1815.32
"27","D3279","E1388",2016-09-18,30,8138.31,"PstI_MluCI",40,133.328,5333.12
"28","D3280","E0931",2016-09-18,30,823.08,"PstI_MluCI",40,8.288,331.52
"29","D3281","E0962",2016-09-18,30,453.39,"PstI_MluCI",40,3.514,140.56
"30","D3282","E1397",2016-09-18,30,1945.86,"PstI_MluCI",40,37.753,1510.12
"31","D3283","E0928",2016-09-18,30,745.89,"PstI_MluCI",40,8.429,337.16
"32","D3284","E1297",2016-09-18,30,738.51,"PstI_MluCI",40,9.851,394.04
"33","D3285","E0492",2016-09-18,30,3394.08,"PstI_MluCI",40,0.468,18.72
"34","D3286","E0516",2016-09-18,30,1397.22,"PstI_MluCI",40,0.329,13.16
"35","D3287","E1350",2016-09-18,30,2415.63,"PstI_MluCI",40,13.637,545.48
"36","D3288","E1866",2016-09-18,30,2297.52,"PstI_MluCI",40,8.191,327.64
"37","D3289","E1867",2016-09-18,30,843.12,"PstI_MluCI",40,2.69,107.6
"38","D3290","E1068",2016-09-18,30,252.42,"PstI_MluCI",40,0.745,29.8
"39","D3291","E0727",2016-09-18,30,73.26,"PstI_MluCI",40,-0.193,-7.72
"40","D3292","E2499",2016-09-18,30,1610.58,"PstI_MluCI",40,1.64,65.6
"41","D3293","E2521",2016-09-18,30,5119.17,"PstI_MluCI",40,71.296,2851.84
"42","D3294","E2538",2016-09-18,30,4511.64,"PstI_MluCI",40,13.643,545.72
"43","D3295","E2588",2016-09-18,30,5237.94,"PstI_MluCI",40,14.101,564.04
"44","D3296","E2617",2016-09-18,30,3302.37,"PstI_MluCI",40,6.685,267.4
"45","D3297","E2632",2016-09-18,30,4929.33,"PstI_MluCI",40,11.663,466.52
"46","D3298","E2851",2016-09-18,30,4995.39,"PstI_MluCI",40,15.933,637.32
"47","D3299","E2931",2016-09-18,30,3996.66,"PstI_MluCI",40,26.787,1071.48
"48","D3300","E2448",2016-09-18,30,771.48,"PstI_MluCI",40,3.236,129.44
"49","D3301","E2744",2016-09-18,30,868.02,"PstI_MluCI",40,2.109,84.36
"50","D3302","E2757",2016-09-18,30,2494.32,"PstI_MluCI",40,5.745,229.8
"51","D3303","E0792",2016-09-18,30,1959.24,"PstI_MluCI",40,6.748,269.92
"52","D3304","E2852",2016-09-18,30,3558.9,"PstI_MluCI",40,12.155,486.2
"53","D3305","E2968",2016-09-18,30,892.71,"PstI_MluCI",40,1.684,67.36
"54","D3306","E2969",2016-09-18,30,6220.8,"PstI_MluCI",40,31.975,1279
"55","D3307","E2970",2016-09-18,30,4818.6,"PstI_MluCI",40,22.724,908.96
"56","D3308","E2971",2016-09-18,30,4928.91,"PstI_MluCI",40,11.243,449.72
"57","D3309","E2972",2016-09-18,30,1520.34,"PstI_MluCI",40,2.887,115.48
"58","D3310","E2973",2016-09-18,30,3714.15,"PstI_MluCI",40,9.482,379.28
"59","D3311","E2974",2016-09-18,30,2890.68,"PstI_MluCI",40,4.373,174.92
"60","D3312","E2975",2016-09-18,30,1592.85,"PstI_MluCI",40,3.982,159.28
"61","D3313","E2976",2016-09-18,30,5969.7,"PstI_MluCI",40,26.526,1061.04
"62","D3314","E2977",2016-09-18,30,3170.94,"PstI_MluCI",40,5.03,201.2
"63","D3315","E2978",2016-09-18,30,2463.24,"PstI_MluCI",40,4.35,174
