"","digest_id","ligation_id","date","DNA","vol_in","water","destloc","destwell","sourcewell","sourceloc","run"
"64","D3009","L3072","2016-04-04",40,10.6,11.6,"P12","F12","B2","P10",1
"65","D3011","L2992","2016-04-04",10,9.03,13.2,"P12","F2","D2","P10",1
"66","D3017","L3047","2016-04-04",40,14,8.2,"P12","E9","B3","P10",1
"67","D3020","L3037","2016-04-04",40,16.1,6.1,"P12","C8","E3","P10",1
"68","D3023","L2996","2016-04-04",10,8.24,14,"P12","B3","H3","P10",1
"69","D3029","L3043","2016-04-04",40,14.8,7.4,"P12","A9","F4","P10",1
"70","D3031","L3051","2016-04-04",40,13.6,8.6,"P12","A10","H4","P10",1
"71","D3038","L3019","2016-04-04",10,5.11,17.1,"P12","A6","G5","P10",1
"72","D3043","L3007","2016-04-04",10,6.22,16,"P12","E4","D6","P10",1
"73","D3045","L3010","2016-04-04",10,5.96,16.2,"P12","H4","F6","P10",1
"74","D3053","L2979","2016-04-04",10,18.4,3.8,"P12","A1","F7","P10",1
"75","D3069","L3062","2016-04-04",40,11.5,10.7,"P12","D11","F9","P10",1
"76","D3074","L2995","2016-04-04",10,8.51,13.7,"P12","A3","C10","P10",1
"77","D3078","L2989","2016-04-04",10,10.1,12.1,"P12","C2","G10","P10",1
"78","D3082","L3070","2016-04-04",40,11.2,11,"P12","D12","C11","P10",1
"79","D3084","L3094","2016-04-04",75,15,7.2,"P13","D3","E11","P10",1
"80","D3085","L3031","2016-04-04",40,17.2,5,"P12","E7","F11","P10",1
"81","D3088","L3078","2016-04-04",75,18.5,3.7,"P13","D1","A12","P10",1
"82","D3094","L3004","2016-04-04",10,6.66,15.5,"P12","B4","G12","P10",1
"20","D2553","L3119","2015-12-04",75,8.63,13.6,"P13","E6","C6","P5",1
"21","D2711","L2987","2015-12-10",10,10.5,11.7,"P12","A2","H1","P6",1
"22","D2730","L3028","2016-03-05",40,18.3,3.9,"P12","B7","C3","P7",1
"23","D2732","L3092","2016-03-05",75,15.6,6.6,"P13","B3","E3","P7",1
"24","D2749","L3075","2016-03-05",75,19.4,2.8,"P13","A1","F5","P7",1
"25","D2750","L3064","2016-03-05",40,11.4,10.8,"P12","F11","G5","P7",1
"26","D2757","L3087","2016-03-05",75,16.5,5.7,"P13","E2","F6","P7",1
"27","D2758","L3080","2016-03-05",75,17.8,4.4,"P13","F1","G6","P7",1
"28","D2772","L3103","2016-03-05",75,14.1,8.1,"P13","E4","E8","P7",1
"29","D2778","L3018","2016-03-05",10,5.12,17.1,"P12","H5","C9","P7",1
"30","D2783","L3093","2016-03-05",75,15.3,6.9,"P13","C3","H9","P7",1
"31","D2785","L3052","2016-03-05",40,13.4,8.8,"P12","B10","B10","P7",1
"32","D2801","L3088","2016-03-05",75,16.4,5.8,"P13","F2","B12","P7",1
"33","D2803","L3090","2016-03-05",75,15.8,6.4,"P13","H2","D12","P7",1
"34","D2804","L3079","2016-03-05",75,18.2,4,"P13","E1","E12","P7",1
"35","D2805","L3020","2016-03-05",10,4.96,17.2,"P12","B6","F12","P7",1
