"","ligation_id","digest_id","DNA","vol_in","water","date","barcode","pool"
"74","L2979","D3053",10,18.4,3.8,2016-09-21,1,"P069"
"60","L2980","D2943",10,16.8,5.4,2016-09-21,2,"P069"
"59","L2981","D2942",10,16.2,6,2016-09-21,3,"P069"
"63","L2982","D2951",10,15.7,6.5,2016-09-21,4,"P069"
"721","L2983","D2971",10,13.8,8.4,2016-09-21,5,"P069"
"144","L2984","D3290",10,13.4,8.8,2016-09-21,6,"P069"
"731","L2985","D2973",10,11.2,11,2016-09-21,7,"P069"
"47","L2986","D2921",10,10.8,11.4,2016-09-21,8,"P069"
"21","L2987","D2711",10,10.5,11.7,2016-09-21,9,"P069"
"124","L2988","D3264",10,10.5,11.7,2016-09-21,10,"P069"
"77","L2989","D3078",10,10.1,12.1,2016-09-21,11,"P069"
"691","L2990","D2965",10,9.82,12.4,2016-09-21,12,"P069"
"781","L2991","D2982",10,9.51,12.7,2016-09-21,13,"P069"
"65","L2992","D3011",10,9.03,13.2,2016-09-21,14,"P069"
"92","L2993","D3120",10,8.64,13.6,2016-09-21,15,"P069"
"100","L2994","D3146",10,8.58,13.6,2016-09-21,16,"P069"
"76","L2995","D3074",10,8.51,13.7,2016-09-21,17,"P069"
"68","L2996","D3023",10,8.24,14,2016-09-21,18,"P069"
"91","L2997","D3118",10,7.65,14.5,2016-09-21,19,"P069"
"761","L2998","D2979",10,7.46,14.7,2016-09-21,20,"P069"
"61","L2999","D2947",10,7.4,14.8,2016-09-21,21,"P069"
"112","L3000","D3252",10,7.02,15.2,2016-09-21,22,"P069"
"661","L3001","D2960",10,6.76,15.4,2016-09-21,23,"P069"
"821","L3002","D2999",10,6.73,15.5,2016-09-21,24,"P069"
"55","L3003","D2933",10,6.73,15.5,2016-09-21,25,"P069"
"82","L3004","D3094",10,6.66,15.5,2016-09-21,26,"P069"
"98","L3005","D3143",10,6.6,15.6,2016-09-21,27,"P069"
"48","L3006","D2923",10,6.5,15.7,2016-09-21,28,"P069"
"72","L3007","D3043",10,6.22,16,2016-09-21,29,"P069"
"145","L3008","D3292",10,6.1,16.1,2016-09-21,30,"P069"
"125","L3009","D3265",10,6.08,16.1,2016-09-21,31,"P069"
"73","L3010","D3045",10,5.96,16.2,2016-09-21,32,"P069"
"158","L3011","D3305",10,5.94,16.3,2016-09-21,33,"P069"
"93","L3012","D3128",10,5.86,16.3,2016-09-21,34,"P069"
"97","L3013","D3140",10,5.69,16.5,2016-09-21,35,"P069"
"117","L3014","D3257",10,5.51,16.7,2016-09-21,36,"P069"
"127","L3015","D3267",10,5.3,16.9,2016-09-21,37,"P069"
"40","L3016","D2842",10,5.25,16.9,2016-09-21,38,"P069"
"681","L3017","D2962",10,5.15,17,2016-09-21,39,"P069"
"29","L3018","D2778",10,5.12,17.1,2016-09-21,40,"P069"
"71","L3019","D3038",10,5.11,17.1,2016-09-21,41,"P069"
"35","L3020","D2805",10,4.96,17.2,2016-09-21,42,"P069"
"115","L3021","D3255",10,4.93,17.3,2016-09-21,43,"P069"
"641","L3022","D2953",10,4.92,17.3,2016-09-21,44,"P069"
"105","L3023","D3197",10,4.9,17.3,2016-09-21,45,"P069"
"154","L3024","D3301",10,4.74,17.5,2016-09-21,46,"P069"
"128","L3025","D3268",10,4.68,17.5,2016-09-21,47,"P069"
"116","L3026","D3256",10,4.64,17.6,2016-09-21,48,"P069"
"86","L3027","D3106",40,18.5,3.7,2016-09-21,1,"P070"
"22","L3028","D2730",40,18.3,3.9,2016-09-21,2,"P070"
"49","L3029","D2924",40,17.3,4.9,2016-09-21,3,"P070"
"54","L3030","D2932",40,17.3,4.9,2016-09-21,4,"P070"
"80","L3031","D3085",40,17.2,5,2016-09-21,5,"P070"
"89","L3032","D3115",40,17.1,5.1,2016-09-21,6,"P070"
"111","L3033","D3251",40,17.1,5.1,2016-09-21,7,"P070"
"107","L3034","D3206",40,16.9,5.3,2016-09-21,8,"P070"
"88","L3035","D3114",40,16.8,5.4,2016-09-21,9,"P070"
"106","L3036","D3202",40,16.5,5.7,2016-09-21,10,"P070"
"67","L3037","D3020",40,16.1,6.1,2016-09-21,11,"P070"
"45","L3038","D2917",40,16.1,6.1,2016-09-21,12,"P070"
"108","L3039","D3213",40,16,6.2,2016-09-21,13,"P070"
"751","L3040","D2978",40,15.5,6.7,2016-09-21,14,"P070"
"701","L3041","D2969",40,15,7.2,2016-09-21,15,"P070"
"143","L3042","D3289",40,14.9,7.3,2016-09-21,16,"P070"
"69","L3043","D3029",40,14.8,7.4,2016-09-21,17,"P070"
"84","L3044","D3103",40,14.6,7.6,2016-09-21,18,"P070"
"741","L3045","D2974",40,14.2,8,2016-09-21,19,"P070"
"811","L3046","D2997",40,14.1,8.1,2016-09-21,20,"P070"
"66","L3047","D3017",40,14,8.2,2016-09-21,21,"P070"
"162","L3048","D3309",40,13.9,8.3,2016-09-21,22,"P070"
"50","L3049","D2925",40,13.8,8.4,2016-09-21,23,"P070"
"671","L3050","D2961",40,13.8,8.4,2016-09-21,24,"P070"
"70","L3051","D3031",40,13.6,8.6,2016-09-21,25,"P070"
"31","L3052","D2785",40,13.4,8.8,2016-09-21,26,"P070"
"133","L3053","D3276",40,13,9.2,2016-09-21,27,"P070"
"87","L3054","D3110",40,12.6,9.6,2016-09-21,28,"P070"
"96","L3055","D3138",40,12.5,9.7,2016-09-21,29,"P070"
"83","L3056","D3098",40,12.5,9.7,2016-09-21,30,"P070"
"94","L3057","D3129",40,12.4,9.8,2016-09-21,31,"P070"
"153","L3058","D3300",40,12.4,9.8,2016-09-21,32,"P070"
"103","L3059","D3157",40,12.2,10,2016-09-21,33,"P070"
"53","L3060","D2931",40,11.9,10.3,2016-09-21,34,"P070"
"56","L3061","D2935",40,11.9,10.3,2016-09-21,35,"P070"
"75","L3062","D3069",40,11.5,10.7,2016-09-21,36,"P070"
"104","L3063","D3158",40,11.5,10.7,2016-09-21,37,"P070"
"25","L3064","D2750",40,11.4,10.8,2016-09-21,38,"P070"
"126","L3065","D3266",40,11.4,10.8,2016-09-21,39,"P070"
"137","L3066","D3281",40,11.4,10.8,2016-09-21,40,"P070"
"90","L3067","D3116",40,11.3,10.9,2016-09-21,41,"P070"
"110","L3068","D3224",40,11.2,11,2016-09-21,42,"P070"
"36","L3069","D2815",40,11.2,11,2016-09-21,43,"P070"
"78","L3070","D3082",40,11.2,11,2016-09-21,44,"P070"
"109","L3071","D3218",40,10.8,11.4,2016-09-21,45,"P070"
"64","L3072","D3009",40,10.6,11.6,2016-09-21,46,"P070"
"85","L3073","D3104",40,10.4,11.8,2016-09-21,47,"P070"
"37","L3074","D2821",40,10.4,11.8,2016-09-21,48,"P070"
"24","L3075","D2749",75,19.4,2.8,2016-09-21,1,"P071"
