,1,2,3,4,5,6,7,8,9,10,11,12
A,E2930,E2938,E2946,E2954,E2962,NA,NA,NA,NA,NA,NA,NA
B,E2931,E2939,E2947,E2955,E2963,NA,NA,NA,NA,NA,NA,NA
C,E2932,E2940,E2948,E2956,E2964,NA,NA,NA,NA,NA,NA,NA
D,E2933,E2941,E2949,E2957,E2965,NA,NA,NA,NA,NA,NA,NA
E,E2934,E2942,E2950,E2958,E2966,NA,NA,NA,NA,NA,NA,NA
F,E2935,E2943,E2951,E2959,E2967,NA,NA,NA,NA,NA,NA,NA
G,E2936,E2944,E2952,E2960,NA,NA,NA,NA,NA,NA,NA,NA
H,E2937,E2945,E2953,E2961,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,E2895,E2903,E2911,E2919,E2927
,E2840,E2848,E2856,E2864,E2872,E2880,E2888,E2896,E2904,E2912,E2920,E2928
,E2841,E2849,E2857,E2865,E2873,E2881,E2889,E2897,E2905,E2913,E2921,E2929
