"","Row","Col","ID"
"1","A",1,"L2979"
"2","B",1,"L2980"
"3","C",1,"L2981"
"4","D",1,"L2982"
"5","E",1,"L2983"
"6","F",1,"L2984"
"7","G",1,"L2985"
"8","H",1,"L2986"
"9","A",2,"L2987"
"10","B",2,"L2988"
"11","C",2,"L2989"
"12","D",2,"L2990"
"13","E",2,"L2991"
"14","F",2,"L2992"
"15","G",2,"L2993"
"16","H",2,"L2994"
"17","A",3,"L2995"
"18","B",3,"L2996"
"19","C",3,"L2997"
"20","D",3,"L2998"
"21","E",3,"L2999"
"22","F",3,"L3000"
"23","G",3,"L3001"
"24","H",3,"L3002"
"25","A",4,"L3003"
"26","B",4,"L3004"
"27","C",4,"L3005"
"28","D",4,"L3006"
"29","E",4,"L3007"
"30","F",4,"L3008"
"31","G",4,"L3009"
"32","H",4,"L3010"
"33","A",5,"L3011"
"34","B",5,"L3012"
"35","C",5,"L3013"
"36","D",5,"L3014"
"37","E",5,"L3015"
"38","F",5,"L3016"
"39","G",5,"L3017"
"40","H",5,"L3018"
"41","A",6,"L3019"
"42","B",6,"L3020"
"43","C",6,"L3021"
"44","D",6,"L3022"
"45","E",6,"L3023"
"46","F",6,"L3024"
"47","G",6,"L3025"
"48","H",6,"L3026"
"49","A",7,"L3027"
"50","B",7,"L3028"
"51","C",7,"L3029"
"52","D",7,"L3030"
"53","E",7,"L3031"
"54","F",7,"L3032"
"55","G",7,"L3033"
"56","H",7,"L3034"
"57","A",8,"L3035"
"58","B",8,"L3036"
"59","C",8,"L3037"
"60","D",8,"L3038"
"61","E",8,"L3039"
"62","F",8,"L3040"
"63","G",8,"L3041"
"64","H",8,"L3042"
"65","A",9,"L3043"
"66","B",9,"L3044"
"67","C",9,"L3045"
"68","D",9,"L3046"
"69","E",9,"L3047"
"70","F",9,"L3048"
"71","G",9,"L3049"
"72","H",9,"L3050"
"73","A",10,"L3051"
"74","B",10,"L3052"
"75","C",10,"L3053"
"76","D",10,"L3054"
"77","E",10,"L3055"
"78","F",10,"L3056"
"79","G",10,"L3057"
"80","H",10,"L3058"
"81","A",11,"L3059"
"82","B",11,"L3060"
"83","C",11,"L3061"
"84","D",11,"L3062"
"85","E",11,"L3063"
"86","F",11,"L3064"
"87","G",11,"L3065"
"88","H",11,"L3066"
"89","A",12,"L3067"
"90","B",12,"L3068"
"91","C",12,"L3069"
"92","D",12,"L3070"
"93","E",12,"L3071"
"94","F",12,"L3072"
"95","G",12,"L3073"
"96","H",12,"L3074"
