"Row","Col","ID","sample"
"A",1,"L3075","APCL15_405042"
"B",1,"L3076","APCL15_076"
"C",1,"L3077","APCL16_008"
"D",1,"L3078","APCL15_405360"
"E",1,"L3079","APCL15_372347"
"F",1,"L3080","APCL15_401889"
"G",1,"L3081","APCL15_371463"
"H",1,"L3082","APCL16_011"
"A",2,"L3083","APCL16_007"
"B",2,"L3084","APCL15_375493"
"C",2,"L3085","APCL15_370033"
"D",2,"L3086","APCL15_090"
"E",2,"L3087","APCL15_402307"
"F",2,"L3088","APCL15_118"
"G",2,"L3089","APCL15_369712"
"H",2,"L3090","APCL15_117"
"A",3,"L3091","APCL15_100"
"B",3,"L3092","APCL15_138"
"C",3,"L3093","APCL15_123"
"D",3,"L3094","APCL15_403566"
"E",3,"L3095","APCL16_010"
"F",3,"L3096","APCL15_370326"
"G",3,"L3097","APCL15_077"
"H",3,"L3098","APCL15_374248"
"A",4,"L3099","APCL15_405197"
"B",4,"L3100","APCL15_084"
"C",4,"L3101","APCL15_072"
"D",4,"L3102","APCL15_370215"
"E",4,"L3103","APCL15_128"
"F",4,"L3104","APCL15_356778"
"G",4,"L3105","APCL15_104"
"H",4,"L3106","APCL15_355518"
"A",5,"L3107","APCL15_376036"
"B",5,"L3108","APCL15_403855"
"C",5,"L3109","APCL15_039"
"D",5,"L3110","APCL15_043"
"E",5,"L3111","APCL15_405940"
"F",5,"L3112","APCL15_355704"
"G",5,"L3113","APCL14_007"
"H",5,"L3114","APCL16_031"
"A",6,"L3115","APCL14_157"
"B",6,"L3116","APCL12_202"
"C",6,"L3117","APCL14_164"
"D",6,"L3118","APCL14_161"
"E",6,"L3119","APCL12_128"
"F",6,"L3120","APCL14_555"
"G",6,"L3121","APCL14_357"
"H",6,"L3122","APCL14_543"
"A",7,"L3123","APCL16_006"
"B",7,"L3124","APCL16_018"
"C",7,"L3125","APCL16_013"
"D",7,"L3126","APCL16_019"
"E",7,"L3127","APCL14_436"
"F",7,"L3128","APCL14_088"
"G",7,"L3129","APCL16_012"
"H",7,"L3130","APCL16_016"
"A",8,"L3131","APCL16_004"
"B",8,"L3132","APCL15_403215"
"C",8,"L3133","APCL15_371404"
"D",8,"L3134","APCL16_015"
"E",8,"L3135","APCL16_014"
"F",8,"L3136","APCL14_511"
"G",8,"L3137","APCL15_369558"
"H",8,"L3138","APCL15_402724"
"A",9,"L3139","APCL14_455"
"B",9,"L3140","APCL15_372744"
"C",9,"L3141","APCL14_343"
"D",9,"L3142","APCL16_017"
"E",9,"L3143","APCL16_029"
"F",9,"L3144","APCL14_330"
"G",9,"L3145","APCL14_450"
"H",9,"L3146","APCL16_034"
"A",10,"L3147","APCL16_003"
"B",10,"L3148","APCL16_027"
"C",10,"L3149","APCL16_023"
"D",10,"L3150","APCL16_009"
"E",10,"L3151","APCL15_373943"
"F",10,"L3152","APCL16_002"
"G",10,"L3153","APCL16_021"
"H",10,"L3154","APCL14_384"
"A",11,"L3155","APCL16_026"
"B",11,"L3156","APCL14_558"
"C",11,"L3157","APCL16_035"
"D",11,"L3158","APCL16_025"
"E",11,"L3159","APCL14_447"
"F",11,"L3160","APCL16_022"
"G",11,"L3161","APCL16_020"
"H",11,"L3162","APCL16_032"
"A",12,"L3163","APCL14_445"
"B",12,"L3164","APCL16_033"
"C",12,"L3165","APCL14_546"
"D",12,"L3166","APCL16_024"
"E",12,"L3167","APCL16_028"
"F",12,"L3168","APCL16_030"
"G",12,"L3169","APCL15_372039"
"H",12,"L3170","APCL14_549"
