"digest_id","plate","well","extraction_id","date","vol_in","ng_in","enzymes","final_vol","quant","DNA_ng","notes","correction","corr_message","corr_editor","corr_date"
"D0364","D0364-D0459","A1","E0151","2014-07-14",20,98,"PstI_MluCI",40,3.357,0.134,"","","","","0000-00-00"
"D0365","D0364-D0459","B1","E0152","2014-07-14",20,434,"PstI_MluCI",40,8.044,0.322,"not enough volume to ligate at 100ng","","","","0000-00-00"
"D0366","D0364-D0459","C1","E0153","2014-07-14",20,438,"PstI_MluCI",40,7.06,0.282,"not enough volume to ligate at 100ng","","","","0000-00-00"
"D0367","D0364-D0459","D1","E0154","2014-07-14",20,94,"PstI_MluCI",40,2.6,0.104,"","","","","0000-00-00"
"D0368","D0364-D0459","E1","E0155","2014-07-14",20,306,"PstI_MluCI",40,1.946,0.078,"digest well is empty","","","","0000-00-00"
"D0369","D0364-D0459","F1","E0156","2014-07-14",20,647,"PstI_MluCI",40,140.181,5.607,"","","","","0000-00-00"
"D0370","D0364-D0459","G1","E0157","2014-07-14",20,109,"PstI_MluCI",40,48.457,1.938,"","","","","0000-00-00"
"D0371","D0364-D0459","H1","E0158","2014-07-14",20,111,"PstI_MluCI",40,43.465,1.739,"","","","","0000-00-00"
"D0372","D0364-D0459","A2","E0159","2014-07-14",20,121,"PstI_MluCI",40,13.324,0.533,"","","","","0000-00-00"
"D0373","D0364-D0459","B2","E0160","2014-07-14",20,131,"PstI_MluCI",40,18.741,0.75,"","","","","0000-00-00"
"D0374","D0364-D0459","C2","E0161","2014-07-14",20,122,"PstI_MluCI",40,58.926,2.357,"","","","","0000-00-00"
"D0375","D0364-D0459","D2","E0162","2014-07-14",20,254,"PstI_MluCI",40,115.283,4.611,"","","","","0000-00-00"
"D0376","D0364-D0459","E2","E0163","2014-07-14",20,118,"PstI_MluCI",40,52.45,2.098,"","","","","0000-00-00"
"D0377","D0364-D0459","F2","E0164","2014-07-14",20,562,"PstI_MluCI",40,121.604,4.864,"","","","","0000-00-00"
"D0378","D0364-D0459","G2","E0165","2014-07-14",20,283,"PstI_MluCI",40,119.059,4.762,"","","","","0000-00-00"
"D0379","D0364-D0459","H2","E0166","2014-07-14",20,305,"PstI_MluCI",40,162.274,6.491,"","","","","0000-00-00"
"D0380","D0364-D0459","A3","E0167","2014-07-14",20,342,"PstI_MluCI",40,223.555,8.942,"","","","","0000-00-00"
"D0381","D0364-D0459","B3","E0168","2014-07-14",20,10,"PstI_MluCI",40,1.723,0.069,"","","","","0000-00-00"
"D0382","D0364-D0459","C3","E0169","2014-07-14",20,661,"PstI_MluCI",40,287.446,11.498,"","","","","0000-00-00"
"D0383","D0364-D0459","D3","E0170","2014-07-14",20,279,"PstI_MluCI",40,105.274,4.211,"","","","","0000-00-00"
"D0384","D0364-D0459","E3","E0171","2014-07-14",20,487,"PstI_MluCI",40,195.939,7.838,"","","","","0000-00-00"
"D0385","D0364-D0459","F3","E0172","2014-07-14",20,201,"PstI_MluCI",40,28.326,1.133,"","","","","0000-00-00"
"D0386","D0364-D0459","G3","E0173","2014-07-14",20,100,"PstI_MluCI",40,43.764,1.751,"","","","","0000-00-00"
"D0387","D0364-D0459","H3","E0174","2014-07-14",20,319,"PstI_MluCI",40,143.58,5.743,"","","","","0000-00-00"
"D0388","D0364-D0459","A4","E0175","2014-07-14",20,239,"PstI_MluCI",40,56.847,2.274,"","","","","0000-00-00"
"D0389","D0364-D0459","B4","E0176","2014-07-14",20,186,"PstI_MluCI",40,30.053,1.202,"","","","","0000-00-00"
"D0390","D0364-D0459","C4","E0177","2014-07-14",20,100,"PstI_MluCI",40,62.166,2.487,"","","","","0000-00-00"
"D0391","D0364-D0459","D4","E0178","2014-07-14",20,170,"PstI_MluCI",40,62.484,2.499,"","","","","0000-00-00"
"D0392","D0364-D0459","E4","E0179","2014-07-14",20,220,"PstI_MluCI",40,67.411,2.696,"","","","","0000-00-00"
"D0393","D0364-D0459","F4","E0180","2014-07-14",20,579,"PstI_MluCI",40,67.567,2.703,"","","","","0000-00-00"
"D0394","D0364-D0459","G4","E0181","2014-07-14",20,140,"PstI_MluCI",40,62.674,2.507,"","","","","0000-00-00"
"D0395","D0364-D0459","H4","E0182","2014-07-14",20,148,"PstI_MluCI",40,74.566,2.983,"digest well is empty","","","","0000-00-00"
"D0396","D0364-D0459","A5","E0183","2014-07-14",20,596,"PstI_MluCI",40,64.689,2.588,"","","","","0000-00-00"
"D0397","D0364-D0459","B5","E0184","2014-07-14",20,504,"PstI_MluCI",40,72.436,2.897,"","","","","0000-00-00"
"D0398","D0364-D0459","C5","E0185","2014-07-14",20,668,"PstI_MluCI",40,290.895,11.636,"","","","","0000-00-00"
"D0399","D0364-D0459","D5","E0186","2014-07-14",20,165,"PstI_MluCI",40,78.472,3.139,"","","","","0000-00-00"
"D0400","D0364-D0459","E5","E0187","2014-07-14",20,61,"PstI_MluCI",40,18.811,0.752,"","","","","0000-00-00"
"D0401","D0364-D0459","F5","E0188","2014-07-14",20,334,"PstI_MluCI",40,49.836,1.993,"","","","","0000-00-00"
"D0402","D0364-D0459","G5","E0189","2014-07-14",20,66,"PstI_MluCI",40,16.09,0.644,"","","","","0000-00-00"
"D0403","D0364-D0459","H5","E0190","2014-07-14",20,123,"PstI_MluCI",40,27.336,1.093,"","","","","0000-00-00"
"D0404","D0364-D0459","A6","E0191","2014-07-14",20,21,"PstI_MluCI",40,10.112,0.404,"2015-08-21: This sample was marked as a failed digest But has Been successfully ligated, removing the F; not enough volume to ligate at 100ng","","","","0000-00-00"
"D0405","D0364-D0459","B6","E0192","2014-07-14",20,92,"PstI_MluCI",40,16.088,0.644,"","","","","0000-00-00"
"D0406","D0364-D0459","C6","E0193","2014-07-14",20,114,"PstI_MluCI",40,55.123,2.205,"","","","","0000-00-00"
"D0407","D0364-D0459","D6","E0194","2014-07-14",20,13,"PstI_MluCI",40,1.5,0.06,"","","","","0000-00-00"
"D0408","D0364-D0459","E6","E0195","2014-07-14",20,164,"PstI_MluCI",40,59.029,2.361,"","","","","0000-00-00"
"D0409","D0364-D0459","F6","E0196","2014-07-14",20,138,"PstI_MluCI",40,19.102,0.764,"","","","","0000-00-00"
"D0410","D0364-D0459","G6","E0197","2014-07-14",20,140,"PstI_MluCI",40,38.683,1.547,"","","","","0000-00-00"
"D0411","D0364-D0459","H6","E0198","2014-07-14",20,406,"PstI_MluCI",40,183.65,7.346,"","","","","0000-00-00"
"D0412","D0364-D0459","A7","E0199","2014-07-14",20,32,"PstI_MluCI",40,4.206,0.168,"digest well is empty","","","","0000-00-00"
"D0413","D0364-D0459","B7","E0200","2014-07-14",20,83,"PstI_MluCI",40,12.449,0.498,"","","","","0000-00-00"
"D0414","D0364-D0459","C7","E0201","2014-07-14",20,53,"PstI_MluCI",40,19.562,0.782,"","","","","0000-00-00"
"D0415","D0364-D0459","D7","E0202","2014-07-14",20,60,"PstI_MluCI",40,21.568,0.863,"","","","","0000-00-00"
"D0416","D0364-D0459","E7","E0203","2014-07-14",20,56,"PstI_MluCI",40,19.248,0.77,"","","","","0000-00-00"
"D0417","D0364-D0459","F7","E0204","2014-07-14",20,173,"PstI_MluCI",40,21.049,0.842,"","","","","0000-00-00"
"D0418","D0364-D0459","G7","E0205","2014-07-14",20,121,"PstI_MluCI",40,31.481,1.259,"","","","","0000-00-00"
