"","Row","Col","Sample","Plate"
"2882","A","1","D0268","D0268-D0363"
"2883","B","1","D0269","D0268-D0363"
"2884","C","1","D0270","D0268-D0363"
"2885","D","1","D0271","D0268-D0363"
"2886","E","1","D0272","D0268-D0363"
"2887","F","1","D0273","D0268-D0363"
"2888","G","1","D0274","D0268-D0363"
"2889","H","1","D0275","D0268-D0363"
"2890","A","2","D0276","D0268-D0363"
"2891","B","2","D0277","D0268-D0363"
"2892","C","2","D0278","D0268-D0363"
"2893","D","2","D0279","D0268-D0363"
"2894","E","2","D0280","D0268-D0363"
"2895","F","2","D0281","D0268-D0363"
"2896","G","2","D0282","D0268-D0363"
"2897","H","2","D0283","D0268-D0363"
"2898","A","3","D0284","D0268-D0363"
"2899","B","3","D0285","D0268-D0363"
"2900","C","3","D0286","D0268-D0363"
"2901","D","3","D0287","D0268-D0363"
"2902","E","3","D0288","D0268-D0363"
"2903","F","3","D0289","D0268-D0363"
"2904","G","3","D0290","D0268-D0363"
"2905","H","3","D0291","D0268-D0363"
"2906","A","4","D0292","D0268-D0363"
"2907","B","4","D0293","D0268-D0363"
"2908","C","4","D0294","D0268-D0363"
"2909","D","4","D0295","D0268-D0363"
"2910","E","4","D0296","D0268-D0363"
"2911","F","4","D0297","D0268-D0363"
"2912","G","4","D0298","D0268-D0363"
"2913","H","4","D0299","D0268-D0363"
"2914","A","5","D0300","D0268-D0363"
"2915","B","5","D0301","D0268-D0363"
"2916","C","5","D0302","D0268-D0363"
"2917","D","5","D0303","D0268-D0363"
"2918","E","5","D0304","D0268-D0363"
"2919","F","5","D0305","D0268-D0363"
"2920","G","5","D0306","D0268-D0363"
"2921","H","5","D0307","D0268-D0363"
"2922","A","6","D0308","D0268-D0363"
"2923","B","6","D0309","D0268-D0363"
"2924","C","6","D0310","D0268-D0363"
"2925","D","6","D0311","D0268-D0363"
"2926","E","6","D0312","D0268-D0363"
"2927","F","6","D0313","D0268-D0363"
"2928","G","6","D0314","D0268-D0363"
"2929","H","6","D0315","D0268-D0363"
"2930","A","7","D0316","D0268-D0363"
"2931","B","7","D0317","D0268-D0363"
"2932","C","7","D0318","D0268-D0363"
"2933","D","7","D0319","D0268-D0363"
"2934","E","7","D0320","D0268-D0363"
"2935","F","7","D0321","D0268-D0363"
"2936","G","7","D0322","D0268-D0363"
"2937","H","7","D0323","D0268-D0363"
"2938","A","8","D0324","D0268-D0363"
"2939","B","8","D0325","D0268-D0363"
"2940","C","8","D0326","D0268-D0363"
"2941","D","8","D0327","D0268-D0363"
"2942","E","8","D0328","D0268-D0363"
"2943","F","8","D0329","D0268-D0363"
"2944","G","8","D0330","D0268-D0363"
"2945","H","8","D0331","D0268-D0363"
"2946","A","9","D0332","D0268-D0363"
"2947","B","9","D0333","D0268-D0363"
"2948","C","9","D0334","D0268-D0363"
"2949","D","9","D0335","D0268-D0363"
"2950","E","9","D0336","D0268-D0363"
"2951","F","9","D0337","D0268-D0363"
"2952","G","9","D0338","D0268-D0363"
"2953","H","9","D0339","D0268-D0363"
"2954","A","10","D0340","D0268-D0363"
"2955","B","10","D0341","D0268-D0363"
"2956","C","10","D0342","D0268-D0363"
"2957","D","10","D0343","D0268-D0363"
"2958","E","10","D0344","D0268-D0363"
"2959","F","10","D0345","D0268-D0363"
"2960","G","10","D0346","D0268-D0363"
"2961","H","10","D0347","D0268-D0363"
"2962","A","11","D0348","D0268-D0363"
"2963","B","11","D0349","D0268-D0363"
"2964","C","11","D0350","D0268-D0363"
"2965","D","11","D0351","D0268-D0363"
"2966","E","11","D0352","D0268-D0363"
"2967","F","11","D0353","D0268-D0363"
"2968","G","11","D0354","D0268-D0363"
"2969","H","11","D0355","D0268-D0363"
"2970","A","12","D0356","D0268-D0363"
"2971","B","12","D0357","D0268-D0363"
"2972","C","12","D0358","D0268-D0363"
"2973","D","12","D0359","D0268-D0363"
"2974","E","12","D0360","D0268-D0363"
"2975","F","12","D0361","D0268-D0363"
"2976","G","12","D0362","D0268-D0363"
"2977","H","12","D0363","D0268-D0363"
"2978","A","1","D0556","D0556-D0651"
"2979","B","1","D0557","D0556-D0651"
"2980","C","1","D0558","D0556-D0651"
"2981","D","1","D0559","D0556-D0651"
"2982","E","1","D0560","D0556-D0651"
"2983","F","1","D0561","D0556-D0651"
"2984","G","1","D0562","D0556-D0651"
"2985","H","1","D0563","D0556-D0651"
"2986","A","2","D0564","D0556-D0651"
"2987","B","2","D0565","D0556-D0651"
"2988","C","2","D0566","D0556-D0651"
"2989","D","2","D0567","D0556-D0651"
"2990","E","2","D0568","D0556-D0651"
"2991","F","2","D0569","D0556-D0651"
"2992","G","2","D0570","D0556-D0651"
"2993","H","2","D0571","D0556-D0651"
"2994","A","3","D0572","D0556-D0651"
"2995","B","3","D0573","D0556-D0651"
"2996","C","3","D0574","D0556-D0651"
"2997","D","3","D0575","D0556-D0651"
"2998","E","3","D0576","D0556-D0651"
"2999","F","3","D0577","D0556-D0651"
"3000","G","3","D0578","D0556-D0651"
"3001","H","3","D0579","D0556-D0651"
"3002","A","4","D0580","D0556-D0651"
"3003","B","4","D0581","D0556-D0651"
"3004","C","4","D0582","D0556-D0651"
"3005","D","4","D0583","D0556-D0651"
"3006","E","4","D0584","D0556-D0651"
"3007","F","4","D0585","D0556-D0651"
"3008","G","4","D0586","D0556-D0651"
"3009","H","4","D0587","D0556-D0651"
"3010","A","5","D0588","D0556-D0651"
"3011","B","5","D0589","D0556-D0651"
"3012","C","5","D0590","D0556-D0651"
"3013","D","5","D0591","D0556-D0651"
"3014","E","5","D0592","D0556-D0651"
"3015","F","5","D0593","D0556-D0651"
"3016","G","5","D0594","D0556-D0651"
"3017","H","5","D0595","D0556-D0651"
"3018","A","6","D0596","D0556-D0651"
"3019","B","6","D0597","D0556-D0651"
"3020","C","6","D0598","D0556-D0651"
"3021","D","6","D0599","D0556-D0651"
"3022","E","6","D0600","D0556-D0651"
"3023","F","6","D0601","D0556-D0651"
"3024","G","6","D0602","D0556-D0651"
"3025","H","6","D0603","D0556-D0651"
"3026","A","7","D0604","D0556-D0651"
"3027","B","7","D0605","D0556-D0651"
"3028","C","7","D0606","D0556-D0651"
"3029","D","7","D0607","D0556-D0651"
"3030","E","7","D0608","D0556-D0651"
"3031","F","7","D0609","D0556-D0651"
"3032","G","7","D0610","D0556-D0651"
"3033","H","7","D0611","D0556-D0651"
"3034","A","8","D0612","D0556-D0651"
"3035","B","8","D0613","D0556-D0651"
"3036","C","8","D0614","D0556-D0651"
"3037","D","8","D0615","D0556-D0651"
"3038","E","8","D0616","D0556-D0651"
"3039","F","8","D0617","D0556-D0651"
"3040","G","8","D0618","D0556-D0651"
"3041","H","8","D0619","D0556-D0651"
"3042","A","9","D0620","D0556-D0651"
"3043","B","9","D0621","D0556-D0651"
"3044","C","9","D0622","D0556-D0651"
"3045","D","9","D0623","D0556-D0651"
"3046","E","9","D0624","D0556-D0651"
"3047","F","9","D0625","D0556-D0651"
"3048","G","9","D0626","D0556-D0651"
"3049","H","9","D0627","D0556-D0651"
"3050","A","10","D0628","D0556-D0651"
"3051","B","10","D0629","D0556-D0651"
"3052","C","10","D0630","D0556-D0651"
"3053","D","10","D0631","D0556-D0651"
"3054","E","10","D0632","D0556-D0651"
"3055","F","10","D0633","D0556-D0651"
"3056","G","10","D0634","D0556-D0651"
"3057","H","10","D0635","D0556-D0651"
"3058","A","11","D0636","D0556-D0651"
"3059","B","11","D0637","D0556-D0651"
"3060","C","11","D0638","D0556-D0651"
"3061","D","11","D0639","D0556-D0651"
"3062","E","11","D0640","D0556-D0651"
"3063","F","11","D0641","D0556-D0651"
"3064","G","11","D0642","D0556-D0651"
"3065","H","11","D0643","D0556-D0651"
"3066","A","12","D0644","D0556-D0651"
"3067","B","12","D0645","D0556-D0651"
"3068","C","12","D0646","D0556-D0651"
"3069","D","12","D0647","D0556-D0651"
"3070","E","12","D0648","D0556-D0651"
"3071","F","12","D0649","D0556-D0651"
"3072","G","12","D0650","D0556-D0651"
"3073","H","12","D0651","D0556-D0651"
"3074","A","1","D0652","D0652-D0747"
"3075","B","1","D0653","D0652-D0747"
"3076","C","1","D0654","D0652-D0747"
"3077","D","1","D0655","D0652-D0747"
"3078","E","1","D0656","D0652-D0747"
"3079","F","1","D0657","D0652-D0747"
"3080","G","1","D0658","D0652-D0747"
