"Row","Col","Sample","Plate"
"A","1","L0255","L0255-L0350"
"B","1","L0256","L0255-L0350"
"C","1","L0257","L0255-L0350"
"D","1","L0258","L0255-L0350"
"E","1","L0259","L0255-L0350"
"F","1","L0260","L0255-L0350"
"G","1","L0261","L0255-L0350"
"H","1","L0262","L0255-L0350"
"A","2","L0263","L0255-L0350"
"B","2","L0264","L0255-L0350"
"C","2","L0265","L0255-L0350"
"D","2","L0266","L0255-L0350"
"E","2","L0267","L0255-L0350"
"F","2","L0268","L0255-L0350"
"G","2","L0269","L0255-L0350"
"H","2","L0270","L0255-L0350"
"A","3","L0271","L0255-L0350"
"B","3","L0272","L0255-L0350"
"C","3","L0273","L0255-L0350"
"D","3","L0274","L0255-L0350"
"E","3","L0275","L0255-L0350"
"F","3","L0276","L0255-L0350"
"G","3","L0277","L0255-L0350"
"H","3","L0278","L0255-L0350"
"A","4","L0279","L0255-L0350"
"B","4","L0280","L0255-L0350"
"C","4","L0281","L0255-L0350"
"D","4","L0282","L0255-L0350"
"E","4","L0283","L0255-L0350"
"F","4","L0284","L0255-L0350"
"G","4","L0285","L0255-L0350"
"H","4","L0286","L0255-L0350"
"A","5","L0287","L0255-L0350"
"B","5","L0288","L0255-L0350"
"C","5","L0289","L0255-L0350"
"D","5","L0290","L0255-L0350"
"E","5","L0291","L0255-L0350"
"F","5","L0292","L0255-L0350"
"G","5","L0293","L0255-L0350"
"H","5","L0294","L0255-L0350"
"A","6","L0295","L0255-L0350"
"B","6","L0296","L0255-L0350"
"C","6","L0297","L0255-L0350"
"D","6","L0298","L0255-L0350"
"E","6","L0299","L0255-L0350"
"F","6","L0300","L0255-L0350"
"G","6","L0301","L0255-L0350"
"H","6","L0302","L0255-L0350"
"A","7","L0303","L0255-L0350"
"B","7","L0304","L0255-L0350"
"C","7","L0305","L0255-L0350"
"D","7","L0306","L0255-L0350"
"E","7","L0307","L0255-L0350"
"F","7","L0308","L0255-L0350"
"G","7","L0309","L0255-L0350"
"H","7","L0310","L0255-L0350"
"A","8","L0311","L0255-L0350"
"B","8","L0312","L0255-L0350"
"C","8","L0313","L0255-L0350"
"D","8","L0314","L0255-L0350"
"E","8","L0315","L0255-L0350"
"F","8","L0316","L0255-L0350"
"G","8","L0317","L0255-L0350"
"H","8","L0318","L0255-L0350"
"A","9","L0319","L0255-L0350"
"B","9","L0320","L0255-L0350"
"C","9","L0321","L0255-L0350"
"D","9","L0322","L0255-L0350"
"E","9","L0323","L0255-L0350"
"F","9","L0324","L0255-L0350"
"G","9","L0325","L0255-L0350"
"H","9","L0326","L0255-L0350"
"A","10","L0327","L0255-L0350"
"B","10","L0328","L0255-L0350"
"C","10","L0329","L0255-L0350"
"D","10","L0330","L0255-L0350"
"E","10","L0331","L0255-L0350"
"F","10","L0332","L0255-L0350"
"G","10","L0333","L0255-L0350"
"H","10","L0334","L0255-L0350"
"A","11","L0335","L0255-L0350"
"B","11","L0336","L0255-L0350"
"C","11","L0337","L0255-L0350"
"D","11","L0338","L0255-L0350"
"E","11","L0339","L0255-L0350"
"F","11","L0340","L0255-L0350"
"G","11","L0341","L0255-L0350"
"H","11","L0342","L0255-L0350"
"A","12","L0343","L0255-L0350"
"B","12","L0344","L0255-L0350"
"C","12","L0345","L0255-L0350"
"D","12","L0346","L0255-L0350"
"E","12","L0347","L0255-L0350"
"F","12","L0348","L0255-L0350"
"G","12","L0349","L0255-L0350"
"H","12","L0350","L0255-L0350"
"A","1","L1119","L1119-NA"
"B","1","L1120","L1119-NA"
"C","1","L1121","L1119-NA"
"D","1","L1122","L1119-NA"
"E","1","L1123","L1119-NA"
"F","1","L1124","L1119-NA"
"G","1","L1125","L1119-NA"
"H","1","L1126","L1119-NA"
"A","2","L1127","L1119-NA"
"B","2","L1128","L1119-NA"
"C","2","L1129","L1119-NA"
"D","2","L1130","L1119-NA"
"E","2","L1131","L1119-NA"
"F","2","L1132","L1119-NA"
"G","2","L1133","L1119-NA"
"H","2","L1134","L1119-NA"
"A","3","L1135","L1119-NA"
"B","3","L1136","L1119-NA"
"C","3","L1137","L1119-NA"
"D","3","L1138","L1119-NA"
"B","7","L1140","L1119-NA"
"C","7","L1141","L1119-NA"
"D","7","L1142","L1119-NA"
"E","7","L1143","L1119-NA"
"F","7","L1144","L1119-NA"
"G","7","L1145","L1119-NA"
"H","7","L1146","L1119-NA"
"A","8","L1147","L1119-NA"
"B","8","L1148","L1119-NA"
"C","8","L1149","L1119-NA"
"D","8","L1150","L1119-NA"
"E","8","L1151","L1119-NA"
"F","8","L1152","L1119-NA"
"G","8","L1153","L1119-NA"
"H","8","L1154","L1119-NA"
"A","9","L1155","L1119-NA"
"B","9","L1156","L1119-NA"
"C","9","L1157","L1119-NA"
"D","9","L1158","L1119-NA"
"E","9","L1139","L1119-NA"
"A","1","L1351","L1351-L1446"
"B","1","L1352","L1351-L1446"
"C","1","L1353","L1351-L1446"
"D","1","L1354","L1351-L1446"
"E","1","L1355","L1351-L1446"
"F","1","L1356","L1351-L1446"
"G","1","L1357","L1351-L1446"
"H","1","L1358","L1351-L1446"
"A","2","L1359","L1351-L1446"
"B","2","L1360","L1351-L1446"
"C","2","L1361","L1351-L1446"
"D","2","L1362","L1351-L1446"
"E","2","L1363","L1351-L1446"
"F","2","L1364","L1351-L1446"
"G","2","L1365","L1351-L1446"
"H","2","L1366","L1351-L1446"
"A","3","L1367","L1351-L1446"
"B","3","L1368","L1351-L1446"
"C","3","L1369","L1351-L1446"
"D","3","L1370","L1351-L1446"
"E","3","L1371","L1351-L1446"
"F","3","L1372","L1351-L1446"
"G","3","L1373","L1351-L1446"
"H","3","L1374","L1351-L1446"
"A","4","L1375","L1351-L1446"
"B","4","L1376","L1351-L1446"
"C","4","L1377","L1351-L1446"
"D","4","L1378","L1351-L1446"
"E","4","L1379","L1351-L1446"
"F","4","L1380","L1351-L1446"
"G","4","L1381","L1351-L1446"
"H","4","L1382","L1351-L1446"
"A","5","L1383","L1351-L1446"
"B","5","L1384","L1351-L1446"
"C","5","L1385","L1351-L1446"
"D","5","L1386","L1351-L1446"
"E","5","L1387","L1351-L1446"
"F","5","L1388","L1351-L1446"
"G","5","L1389","L1351-L1446"
"H","5","L1390","L1351-L1446"
"A","6","L1391","L1351-L1446"
"B","6","L1392","L1351-L1446"
"C","6","L1393","L1351-L1446"
"D","6","L1394","L1351-L1446"
"E","6","L1395","L1351-L1446"
"F","6","L1396","L1351-L1446"
"G","6","L1397","L1351-L1446"
"H","6","L1398","L1351-L1446"
"A","7","L1399","L1351-L1446"
"B","7","L1400","L1351-L1446"
"C","7","L1401","L1351-L1446"
"D","7","L1402","L1351-L1446"
"E","7","L1403","L1351-L1446"
"F","7","L1404","L1351-L1446"
"G","7","L1405","L1351-L1446"
"H","7","L1406","L1351-L1446"
"A","8","L1407","L1351-L1446"
"B","8","L1408","L1351-L1446"
"C","8","L1409","L1351-L1446"
"D","8","L1410","L1351-L1446"
"E","8","L1411","L1351-L1446"
"F","8","L1412","L1351-L1446"
"G","8","L1413","L1351-L1446"
"H","8","L1414","L1351-L1446"
"A","9","L1415","L1351-L1446"
"B","9","L1416","L1351-L1446"
"C","9","L1417","L1351-L1446"
"D","9","L1418","L1351-L1446"
"E","9","L1419","L1351-L1446"
"F","9","L1420","L1351-L1446"
"G","9","L1421","L1351-L1446"
"H","9","L1422","L1351-L1446"
"A","10","L1423","L1351-L1446"
"B","10","L1424","L1351-L1446"
"C","10","L1425","L1351-L1446"
"D","10","L1426","L1351-L1446"
"E","10","L1427","L1351-L1446"
"F","10","L1428","L1351-L1446"
"G","10","L1429","L1351-L1446"
"H","10","L1430","L1351-L1446"
"A","11","L1431","L1351-L1446"
"B","11","L1432","L1351-L1446"
"C","11","L1433","L1351-L1446"
"D","11","L1434","L1351-L1446"
"E","11","L1435","L1351-L1446"
"F","11","L1436","L1351-L1446"
"G","11","L1437","L1351-L1446"
"H","11","L1438","L1351-L1446"
"A","12","L1439","L1351-L1446"
"B","12","L1440","L1351-L1446"
"C","12","L1441","L1351-L1446"
"D","12","L1442","L1351-L1446"
"E","12","L1443","L1351-L1446"
"F","12","L1444","L1351-L1446"
"G","12","L1445","L1351-L1446"
"H","12","L1446","L1351-L1446"
"A","1","L0639","L0639-L0734"
"B","1","L0640","L0639-L0734"
"C","1","L0641","L0639-L0734"
"D","1","L0642","L0639-L0734"
"E","1","L0643","L0639-L0734"
"F","1","L0644","L0639-L0734"
"G","1","L0645","L0639-L0734"
"H","1","L0646","L0639-L0734"
"A","2","L0647","L0639-L0734"
"B","2","L0648","L0639-L0734"
"C","2","L0649","L0639-L0734"
"D","2","L0650","L0639-L0734"
"E","2","L0651","L0639-L0734"
"F","2","L0652","L0639-L0734"
"G","2","L0653","L0639-L0734"
"H","2","L0654","L0639-L0734"
"A","3","L0655","L0639-L0734"
"B","3","L0656","L0639-L0734"
"C","3","L0657","L0639-L0734"
"D","3","L0658","L0639-L0734"
"E","3","L0659","L0639-L0734"
"F","3","L0660","L0639-L0734"
"G","3","L0661","L0639-L0734"
"H","3","L0662","L0639-L0734"
"A","4","L0663","L0639-L0734"
"B","4","L0664","L0639-L0734"
"C","4","L0665","L0639-L0734"
"D","4","L0666","L0639-L0734"
"E","4","L0667","L0639-L0734"
"F","4","L0668","L0639-L0734"
"G","4","L0669","L0639-L0734"
"H","4","L0670","L0639-L0734"
"A","5","L0671","L0639-L0734"
"B","5","L0672","L0639-L0734"
"C","5","L0673","L0639-L0734"
"D","5","L0674","L0639-L0734"
"E","5","L0675","L0639-L0734"
"F","5","L0676","L0639-L0734"
"G","5","L0677","L0639-L0734"
"H","5","L0678","L0639-L0734"
"A","6","L0679","L0639-L0734"
"B","6","L0680","L0639-L0734"
"C","6","L0681","L0639-L0734"
"D","6","L0682","L0639-L0734"
"E","6","L0683","L0639-L0734"
"F","6","L0684","L0639-L0734"
"G","6","L0685","L0639-L0734"
"H","6","L0686","L0639-L0734"
"A","7","L0687","L0639-L0734"
"B","7","L0688","L0639-L0734"
"C","7","L0689","L0639-L0734"
"D","7","L0690","L0639-L0734"
"E","7","L0691","L0639-L0734"
"F","7","L0692","L0639-L0734"
"G","7","L0693","L0639-L0734"
"H","7","L0694","L0639-L0734"
"A","8","L0695","L0639-L0734"
"B","8","L0696","L0639-L0734"
"C","8","L0697","L0639-L0734"
"D","8","L0698","L0639-L0734"
"E","8","L0699","L0639-L0734"
"F","8","L0700","L0639-L0734"
"G","8","L0701","L0639-L0734"
"H","8","L0702","L0639-L0734"
"A","9","L0703","L0639-L0734"
"B","9","L0704","L0639-L0734"
"C","9","L0705","L0639-L0734"
"D","9","L0706","L0639-L0734"
"E","9","L0707","L0639-L0734"
"F","9","L0708","L0639-L0734"
"G","9","L0709","L0639-L0734"
"H","9","L0710","L0639-L0734"
"A","10","L0711","L0639-L0734"
"B","10","L0712","L0639-L0734"
"C","10","L0713","L0639-L0734"
"D","10","L0714","L0639-L0734"
"E","10","L0715","L0639-L0734"
"F","10","L0716","L0639-L0734"
"G","10","L0717","L0639-L0734"
"H","10","L0718","L0639-L0734"
"A","11","L0719","L0639-L0734"
"B","11","L0720","L0639-L0734"
"C","11","L0721","L0639-L0734"
"D","11","L0722","L0639-L0734"
"E","11","L0723","L0639-L0734"
"F","11","L0724","L0639-L0734"
"G","11","L0725","L0639-L0734"
"H","11","L0726","L0639-L0734"
"A","12","L0727","L0639-L0734"
"B","12","L0728","L0639-L0734"
"C","12","L0729","L0639-L0734"
"D","12","L0730","L0639-L0734"
"E","12","L0731","L0639-L0734"
"F","12","L0732","L0639-L0734"
"G","12","L0733","L0639-L0734"
"H","12","L0734","L0639-L0734"
"A","1","L1023","L1023-L1118"
"B","1","L1024","L1023-L1118"
"C","1","L1025","L1023-L1118"
"D","1","L1026","L1023-L1118"
"E","1","L1027","L1023-L1118"
"F","1","L1028","L1023-L1118"
"G","1","L1029","L1023-L1118"
"H","1","L1030","L1023-L1118"
"A","2","L1031","L1023-L1118"
"B","2","L1032","L1023-L1118"
"C","2","L1033","L1023-L1118"
"D","2","L1034","L1023-L1118"
"E","2","L1035","L1023-L1118"
"F","2","L1036","L1023-L1118"
"G","2","L1037","L1023-L1118"
"H","2","L1038","L1023-L1118"
"A","3","L1039","L1023-L1118"
"B","3","L1040","L1023-L1118"
"C","3","L1041","L1023-L1118"
"D","3","L1042","L1023-L1118"
"E","3","L1043","L1023-L1118"
"F","3","L1044","L1023-L1118"
"G","3","L1045","L1023-L1118"
"H","3","L1046","L1023-L1118"
"A","4","L1047","L1023-L1118"
"B","4","L1048","L1023-L1118"
"C","4","L1049","L1023-L1118"
"D","4","L1050","L1023-L1118"
"E","4","L1051","L1023-L1118"
"F","4","L1052","L1023-L1118"
"G","4","L1053","L1023-L1118"
"H","4","L1054","L1023-L1118"
"A","5","L1055","L1023-L1118"
"B","5","L1056","L1023-L1118"
"C","5","L1057","L1023-L1118"
"D","5","L1058","L1023-L1118"
"E","5","L1059","L1023-L1118"
"F","5","L1060","L1023-L1118"
"G","5","L1061","L1023-L1118"
"H","5","L1062","L1023-L1118"
"A","6","L1063","L1023-L1118"
"B","6","L1064","L1023-L1118"
"C","6","L1065","L1023-L1118"
"D","6","L1066","L1023-L1118"
"E","6","L1067","L1023-L1118"
"F","6","L1068","L1023-L1118"
"G","6","L1069","L1023-L1118"
"H","6","L1070","L1023-L1118"
"A","7","L1071","L1023-L1118"
"B","7","L1072","L1023-L1118"
"C","7","L1073","L1023-L1118"
"D","7","L1074","L1023-L1118"
"E","7","L1075","L1023-L1118"
"F","7","L1076","L1023-L1118"
"G","7","L1077","L1023-L1118"
"H","7","L1078","L1023-L1118"
"A","8","L1079","L1023-L1118"
"B","8","L1080","L1023-L1118"
"C","8","L1081","L1023-L1118"
"D","8","L1082","L1023-L1118"
"E","8","L1083","L1023-L1118"
"F","8","L1084","L1023-L1118"
"G","8","L1085","L1023-L1118"
"H","8","L1086","L1023-L1118"
"A","9","L1087","L1023-L1118"
"B","9","L1088","L1023-L1118"
"C","9","L1089","L1023-L1118"
"D","9","L1090","L1023-L1118"
"E","9","L1091","L1023-L1118"
"F","9","L1092","L1023-L1118"
"G","9","L1093","L1023-L1118"
"H","9","L1094","L1023-L1118"
"A","10","L1095","L1023-L1118"
"B","10","L1096","L1023-L1118"
"C","10","L1097","L1023-L1118"
"D","10","L1098","L1023-L1118"
"E","10","L1099","L1023-L1118"
"F","10","L1100","L1023-L1118"
"G","10","L1101","L1023-L1118"
"H","10","L1102","L1023-L1118"
"A","11","L1103","L1023-L1118"
"B","11","L1104","L1023-L1118"
"C","11","L1105","L1023-L1118"
"D","11","L1106","L1023-L1118"
"E","11","L1107","L1023-L1118"
"F","11","L1108","L1023-L1118"
"G","11","L1109","L1023-L1118"
"H","11","L1110","L1023-L1118"
"A","12","L1111","L1023-L1118"
"B","12","L1112","L1023-L1118"
"C","12","L1113","L1023-L1118"
"D","12","L1114","L1023-L1118"
"E","12","L1115","L1023-L1118"
"F","12","L1116","L1023-L1118"
"G","12","L1117","L1023-L1118"
"H","12","L1118","L1023-L1118"
